"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "albert" "524" 1 "131593" "15:31" 931 "JM15-17" 88.29 "M" 1 "PB stays at 00:14:39" 39
"2" "albert" "524" 2 NA NA NA NA NA NA NA NA NA
"3" "albert" "524" 3 "4176836" "16:26" 986 "SM25-29" 78.5 "M" 3 "New PB!" 9
"4" "albert" "524" 4 "285383" "16:36" 996 "JM15-17" 83.84 "M" 4 "PB stays at 00:16:18" 69
"5" "albert" "524" 5 NA NA NA NA NA NA NA NA NA
"6" "albert" "524" 6 "41686" "17:01" 1021 "SM30-34" 76 "M" 6 "PB stays at 00:15:08" 99
"7" "albert" "524" 7 "1564410" "17:10" 1030 "JM15-17" 78.64 "M" 7 "PB stays at 00:16:41" 11
"8" "albert" "524" 8 "166912" "17:16" 1036 "JM15-17" 78.19 "M" 8 "New PB!" 68
"9" "albert" "524" 9 "109654" "17:20" 1040 "VM40-44" 79.9 "M" 9 "PB stays at 00:16:58" 121
"10" "albert" "524" 10 NA NA NA NA NA NA NA NA NA
"11" "albert" "524" 11 "514758" "17:43" 1063 "JM11-14" 80.06 "M" 11 "PB stays at 00:17:31" 45
"12" "albert" "524" 12 "16235" "17:53" 1073 "VM45-49" 79.87 "M" 12 "PB stays at 00:16:42" 129
"13" "albert" "524" 13 "20270" "17:56" 1076 "SM30-34" 73.14 "M" 13 "PB stays at 00:16:35" 124
"14" "albert" "524" 14 "2748138" "18:19" 1099 "SM25-29" 70.43 "M" 14 "New PB!" 5
"15" "albert" "524" 15 "92911" "18:39" 1119 "VM45-49" 77.21 "M" 15 "PB stays at 00:17:22" 200
"16" "albert" "524" 16 "1124858" "18:45" 1125 "SM30-34" 69.6 "M" 16 "PB stays at 00:17:58" 101
"17" "albert" "524" 17 "718931" "18:47" 1127 "VM40-44" 73.2 "M" 17 "PB stays at 00:18:09" 196
"18" "albert" "524" 18 "346932" "18:49" 1129 "VM40-44" 74.22 "M" 18 "PB stays at 00:17:43" 220
"19" "albert" "524" 19 "16791" "19:04" 1144 "VM50-54" 78.58 "M" 19 "PB stays at 00:17:20" 447
"20" "albert" "524" 20 NA NA NA NA NA NA NA NA NA
"21" "albert" "524" 21 "1327332" "19:10" 1150 "VM40-44" 73.39 "M" 21 "New PB!" 90
"22" "albert" "524" 22 "1187810" "19:12" 1152 "VM55-59" 80.03 "M" 22 "PB stays at 00:18:40" 71
"23" "albert" "524" 23 "400412" "19:14" 1154 "VM40-44" 70.97 "M" 23 "PB stays at 00:18:48" 45
"24" "albert" "524" 24 "119443" "19:18" 1158 "JW15-17" 78.32 "F" 1 "New PB!" 51
