"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"586" "2019-05-25" NA NA NA NA NA NA NA NA
"585" "2019-05-18" NA NA NA NA NA NA NA NA
"584" "2019-05-11" NA NA NA NA NA NA NA NA
"583" "2019-05-04" NA NA NA NA NA NA NA NA
"582" "2019-04-27" NA NA NA NA NA NA NA NA
"581" "2019-04-20" NA NA NA NA NA NA NA NA
"580" "2019-04-13" NA NA NA NA NA NA NA NA
"579" "2019-04-06" NA NA NA NA NA NA NA NA
"578" "2019-03-30" NA NA NA NA NA NA NA NA
"577" "2019-03-23" NA NA NA NA NA NA NA NA
"576" "2019-03-16" NA NA NA NA NA NA NA NA
"575" "2019-03-09" NA NA NA NA NA NA NA NA
"574" "2019-03-02" NA NA NA NA NA NA NA NA
"573" "2019-02-23" NA NA NA NA NA NA NA NA
"572" "2019-02-16" NA NA NA NA NA NA NA NA
"571" "2019-02-09" NA NA NA NA NA NA NA NA
"570" "2019-02-02" NA NA NA NA NA NA NA NA
"569" "2019-01-26" NA NA NA NA NA NA NA NA
"568" "2019-01-19" NA NA NA NA NA NA NA NA
"567" "2019-01-12" NA NA NA NA NA NA NA NA
"566" "2019-01-05" NA NA NA NA NA NA NA NA
"565" "2019-01-01" NA NA NA NA NA NA NA NA
"564" "2018-12-29" NA NA NA NA NA NA NA NA
"563" "2018-12-25" NA NA NA NA NA NA NA NA
"562" "2018-12-22" NA NA NA NA NA NA NA NA
"561" "2018-12-15" NA NA NA NA NA NA NA NA
"560" "2018-12-08" NA NA NA NA NA NA NA NA
"559" "2018-12-01" NA NA NA NA NA NA NA NA
"558" "2018-11-24" NA NA NA NA NA NA NA NA
"557" "2018-11-17" NA NA NA NA NA NA NA NA
"556" "2018-11-10" NA NA NA NA NA NA NA NA
"555" "2018-11-03" NA NA NA NA NA NA NA NA
"554" "2018-10-27" NA NA NA NA NA NA NA NA
"553" "2018-10-20" NA NA NA NA NA NA NA NA
"552" "2018-10-13" NA NA NA NA NA NA NA NA
"551" "2018-10-06" NA NA NA NA NA NA NA NA
"550" "2018-09-29" NA NA NA NA NA NA NA NA
"549" "2018-09-22" NA NA NA NA NA NA NA NA
"548" "2018-09-15" NA NA NA NA NA NA NA NA
"547" "2018-09-08" NA NA NA NA NA NA NA NA
"546" "2018-09-01" NA NA NA NA NA NA NA NA
"545" "2018-08-25" NA NA NA NA NA NA NA NA
"544" "2018-08-18" NA NA NA NA NA NA NA NA
"543" "2018-08-11" NA NA NA NA NA NA NA NA
"542" "2018-08-04" NA NA NA NA NA NA NA NA
"541" "2018-07-28" NA NA NA NA NA NA NA NA
"540" "2018-07-21" NA NA NA NA NA NA NA NA
"539" "2018-07-14" NA NA NA NA NA NA NA NA
"538" "2018-07-07" NA NA NA NA NA NA NA NA
"537" "2018-06-30" NA NA NA NA NA NA NA NA
"536" "2018-06-23" NA NA NA NA NA NA NA NA
"535" "2018-06-16" NA NA NA NA NA NA NA NA
"534" "2018-06-09" NA NA NA NA NA NA NA NA
"533" "2018-06-02" NA NA NA NA NA NA NA NA
"532" "2018-05-26" NA NA NA NA NA NA NA NA
"531" "2018-05-19" NA NA NA NA NA NA NA NA
"530" "2018-05-12" NA NA NA NA NA NA NA NA
"529" "2018-05-05" NA NA NA NA NA NA NA NA
"528" "2018-04-28" NA NA NA NA NA NA NA NA
"527" "2018-04-21" NA NA NA NA NA NA NA NA
