"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "ashton-court" "320" 1 "805979" "17:20" 1040 "SM30-34" 74.81 "M" 1 "PB stays at 00:16:23" 95
"2" "ashton-court" "320" 2 "1500295" "18:13" 1093 "SM30-34" 71.36 "M" 2 "PB stays at 00:17:53" 73
"3" "ashton-court" "320" 3 "165821" "18:44" 1124 "VM40-44" 74.56 "M" 3 "PB stays at 00:18:07" 164
"4" "ashton-court" "320" 4 "1967843" "18:49" 1129 "JM15-17" 73.96 "M" 4 "PB stays at 00:18:25" 3
"5" "ashton-court" "320" 5 "131778" "18:57" 1137 "VM40-44" 73.7 "M" 5 "PB stays at 00:18:10" 257
"6" "ashton-court" "320" 6 "1071211" "19:18" 1158 "JM11-14" 73.49 "M" 6 "PB stays at 00:18:31" 5
"7" "ashton-court" "320" 7 "497234" "19:31" 1171 "SM25-29" 66.1 "M" 7 "First Timer!" 3
"8" "ashton-court" "320" 8 "347341" "19:42" 1182 "SM30-34" 65.82 "M" 8 "PB stays at 00:18:05" 154
"9" "ashton-court" "320" 9 "622418" "19:45" 1185 "SM20-24" 65.99 "M" 9 "First Timer!" 47
"10" "ashton-court" "320" 10 "160396" "19:47" 1187 "SM30-34" 65.37 "M" 10 "PB stays at 00:18:21" 99
"11" "ashton-court" "320" 11 "3090107" "19:51" 1191 "SM25-29" 64.99 "M" 11 "First Timer!" 24
"12" "ashton-court" "320" 12 "376341" "19:52" 1192 "SM30-34" 65.1 "M" 12 "PB stays at 00:19:16" 133
"13" "ashton-court" "320" 13 "388158" "19:53" 1193 "VM50-54" 74.18 "M" 13 "PB stays at 00:19:18" 256
"14" "ashton-court" "320" 14 "484513" "19:59" 1199 "SM25-29" 64.55 "M" 14 "PB stays at 00:18:54" 6
"15" "ashton-court" "320" 15 "390067" "20:00" 1200 "SM20-24" 64.5 "M" 15 "PB stays at 00:19:55" 85
"16" "ashton-court" "320" 16 "140123" "20:03" 1203 "VM55-59" 77.97 "M" 16 "PB stays at 00:19:04" 296
"17" "ashton-court" "320" 17 "1804229" "20:03" 1203 "SM20-24" 64.34 "M" 17 "New PB!" 69
"18" "ashton-court" "320" 18 "899830" "20:04" 1204 "SM30-34" 65.37 "M" 18 "PB stays at 00:19:01" 68
"19" "ashton-court" "320" 19 "409969" "20:08" 1208 "VM45-49" 70.94 "M" 19 "PB stays at 00:19:17" 204
"20" "ashton-court" "320" 20 "505146" "20:13" 1213 "VM40-44" 68.51 "M" 20 "New PB!" 13
"21" "ashton-court" "320" 21 "136072" "20:21" 1221 "SM30-34" 63.88 "M" 21 "PB stays at 00:18:25" 121
"22" "ashton-court" "320" 22 "195993" "20:24" 1224 "VM60-64" 78.59 "M" 22 "PB stays at 00:19:10" 176
"23" "ashton-court" "320" 23 "349344" "20:27" 1227 "SM25-29" 63.08 "M" 23 "First Timer!" 7
"24" "ashton-court" "320" 24 "229848" "20:29" 1229 "VM40-44" 68.67 "M" 24 "PB stays at 00:18:49" 267
"25" "ashton-court" "320" 25 "138193" "20:33" 1233 "VM45-49" 70.07 "M" 25 "PB stays at 00:19:48" 117
"26" "ashton-court" "320" 26 "204322" "20:37" 1237 "SM30-34" 63.06 "M" 26 "New PB!" 173
"27" "ashton-court" "320" 27 "3784826" "20:43" 1243 "SM30-34" 62.59 "M" 27 "PB stays at 00:18:28" 38
"28" "ashton-court" "320" 28 "222694" "20:46" 1246 "VM55-59" 76.57 "M" 28 "New PB!" 156
"29" "ashton-court" "320" 29 "184100" "20:54" 1254 "SM30-34" 62.04 "M" 29 "New PB!" 88
"30" "ashton-court" "320" 30 "94314" "20:57" 1257 "VM50-54" 71.52 "M" 30 "First Timer!" 123
"31" "ashton-court" "320" 31 "245318" "21:05" 1265 "SM25-29" 61.19 "M" 31 "PB stays at 00:18:50" 157
"32" "ashton-court" "320" 32 "205883" "21:09" 1269 "VM45-49" 67.53 "M" 32 "PB stays at 00:19:43" 223
"33" "ashton-court" "320" 33 "70920" "21:13" 1273 "JM15-17" 63.63 "M" 33 "First Timer!" 65
"34" "ashton-court" "320" 34 "1261885" "21:14" 1274 "SM25-29" 60.75 "M" 34 "New PB!" 23
"35" "ashton-court" "320" 35 NA NA NA NA NA NA NA NA NA
"36" "ashton-court" "320" 36 "963969" "21:24" 1284 "SM25-29" 60.36 "M" 36 "PB stays at 00:18:45" 140
"37" "ashton-court" "320" 37 NA NA NA NA NA NA NA NA NA
"38" "ashton-court" "320" 38 "217611" "21:34" 1294 "VM45-49" 66.77 "M" 38 "PB stays at 00:21:01" 134
"39" "ashton-court" "320" 39 "843134" "21:36" 1296 "VM35-39" 62.27 "M" 39 "PB stays at 00:19:59" 160
"40" "ashton-court" "320" 40 "1876930" "21:38" 1298 "VM50-54" 68.72 "M" 40 "PB stays at 00:20:48" 130
"41" "ashton-court" "320" 41 "182921" "21:39" 1299 "VM45-49" 67.59 "M" 41 "PB stays at 00:20:32" 40
