"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"394" "2019-02-16" NA NA NA NA NA NA NA NA
"393" "2019-02-09" NA NA NA NA NA NA NA NA
"392" "2019-01-26" NA NA NA NA NA NA NA NA
"391" "2019-01-19" NA NA NA NA NA NA NA NA
"390" "2019-01-12" NA NA NA NA NA NA NA NA
"389" "2019-01-05" NA NA NA NA NA NA NA NA
"388" "2019-01-01" NA NA NA NA NA NA NA NA
"387" "2018-12-29" NA NA NA NA NA NA NA NA
"386" "2018-12-22" NA NA NA NA NA NA NA NA
"385" "2018-12-15" NA NA NA NA NA NA NA NA
"384" "2018-12-08" NA NA NA NA NA NA NA NA
"383" "2018-12-01" NA NA NA NA NA NA NA NA
"382" "2018-11-24" NA NA NA NA NA NA NA NA
"381" "2018-11-17" NA NA NA NA NA NA NA NA
"380" "2018-11-10" NA NA NA NA NA NA NA NA
"379" "2018-11-03" NA NA NA NA NA NA NA NA
"378" "2018-10-27" NA NA NA NA NA NA NA NA
"377" "2018-10-20" NA NA NA NA NA NA NA NA
"376" "2018-10-13" NA NA NA NA NA NA NA NA
"375" "2018-10-06" NA NA NA NA NA NA NA NA
"374" "2018-09-29" NA NA NA NA NA NA NA NA
"373" "2018-09-22" NA NA NA NA NA NA NA NA
"372" "2018-09-15" NA NA NA NA NA NA NA NA
"371" "2018-09-08" NA NA NA NA NA NA NA NA
"370" "2018-09-01" NA NA NA NA NA NA NA NA
"369" "2018-08-25" NA NA NA NA NA NA NA NA
"368" "2018-08-18" NA NA NA NA NA NA NA NA
"367" "2018-08-04" NA NA NA NA NA NA NA NA
"366" "2018-07-28" NA NA NA NA NA NA NA NA
"365" "2018-07-21" NA NA NA NA NA NA NA NA
"364" "2018-07-14" NA NA NA NA NA NA NA NA
"363" "2018-07-07" NA NA NA NA NA NA NA NA
"362" "2018-06-30" NA NA NA NA NA NA NA NA
"361" "2018-06-23" NA NA NA NA NA NA NA NA
"360" "2018-06-16" NA NA NA NA NA NA NA NA
"359" "2018-06-09" NA NA NA NA NA NA NA NA
"358" "2018-06-02" NA NA NA NA NA NA NA NA
"357" "2018-05-26" NA NA NA NA NA NA NA NA
"356" "2018-05-19" NA NA NA NA NA NA NA NA
"355" "2018-05-12" NA NA NA NA NA NA NA NA
"354" "2018-05-05" NA NA NA NA NA NA NA NA
"353" "2018-04-28" NA NA NA NA NA NA NA NA
"352" "2018-04-21" NA NA NA NA NA NA NA NA
"351" "2018-04-14" NA NA NA NA NA NA NA NA
"350" "2018-04-07" NA NA NA NA NA NA NA NA
"349" "2018-03-31" NA NA NA NA NA NA NA NA
"348" "2018-03-24" NA NA NA NA NA NA NA NA
"347" "2018-03-17" NA NA NA NA NA NA NA NA
"346" "2018-03-10" NA NA NA NA NA NA NA NA
"345" "2018-02-24" NA NA NA NA NA NA NA NA
"344" "2018-02-17" NA NA NA NA NA NA NA NA
"343" "2018-02-10" NA NA NA NA NA NA NA NA
"342" "2018-02-03" NA NA NA NA NA NA NA NA
"341" "2018-01-27" NA NA NA NA NA NA NA NA
"340" "2018-01-20" NA NA NA NA NA NA NA NA
"339" "2018-01-13" NA NA NA NA NA NA NA NA
"338" "2018-01-06" NA NA NA NA NA NA NA NA
"337" "2018-01-01" NA NA NA NA NA NA NA NA
"336" "2017-12-30" NA NA NA NA NA NA NA NA
"335" "2017-12-23" NA NA NA NA NA NA NA NA
"334" "2017-12-16" NA NA NA NA NA NA NA NA
