"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "druridgebay" "142" 1 "384872" "16:36" 996 "SM25-29" 77.71 "M" 1 "PB stays at 00:16:03" 10
"2" "druridgebay" "142" 2 "55851" "17:45" 1065 "SM18-19" 74.27 "M" 2 "First Timer!" 104
"3" "druridgebay" "142" 3 "303389" "18:05" 1085 "JM15-17" 76.96 "M" 3 "First Timer!" 69
"4" "druridgebay" "142" 4 "178127" "18:31" 1111 "SM25-29" 69.67 "M" 4 "PB stays at 00:17:43" 112
"5" "druridgebay" "142" 5 "1297815" "19:03" 1143 "SM30-34" 68.85 "M" 5 "PB stays at 00:17:57" 77
"6" "druridgebay" "142" 6 "1318296" "19:36" 1176 "SM25-29" 65.9 "M" 6 "New PB!" 14
"7" "druridgebay" "142" 7 "1294233" "19:45" 1185 "VM35-39" 67.17 "M" 7 "PB stays at 00:19:23" 101
"8" "druridgebay" "142" 8 "2884974" "19:47" 1187 "VM40-44" 69.5 "M" 8 "New PB!" 39
"9" "druridgebay" "142" 9 "788600" "20:11" 1211 "VM40-44" 69.69 "M" 9 "New PB!" 170
"10" "druridgebay" "142" 10 "379923" "20:30" 1230 "JM15-17" 66.83 "M" 10 "First Timer!" 83
"11" "druridgebay" "142" 11 "3394842" "20:39" 1239 "VM45-49" 68.68 "M" 11 "First Timer!" 4
"12" "druridgebay" "142" 12 "621661" "20:52" 1252 "VW35-39" 71.88 "F" 1 "PB stays at 00:20:50" 42
"13" "druridgebay" "142" 13 "3340266" "20:57" 1257 "VM45-49" 69.85 "M" 12 "New PB!" 10
"14" "druridgebay" "142" 14 "3310810" "21:05" 1265 "VM50-54" 70.51 "M" 13 "New PB!" 11
"15" "druridgebay" "142" 15 "1789836" "21:16" 1276 "VM55-59" 74.76 "M" 14 "PB stays at 00:20:16" 29
"16" "druridgebay" "142" 16 "1563276" "21:24" 1284 "VW55-59" 85.75 "F" 2 "PB stays at 00:20:07" 123
"17" "druridgebay" "142" 17 "1562607" "21:25" 1285 "VM50-54" 71.13 "M" 15 "PB stays at 00:21:15" 66
"18" "druridgebay" "142" 18 "1066152" "21:51" 1311 "VW35-39" 69.57 "F" 3 "First Timer!" 3
"19" "druridgebay" "142" 19 "490951" "21:52" 1312 "VM40-44" 63.34 "M" 16 "PB stays at 00:21:13" 9
"20" "druridgebay" "142" 20 "420804" "22:03" 1323 "SM30-34" 58.65 "M" 17 "New PB!" 123
"21" "druridgebay" "142" 21 "2037612" "22:10" 1330 "VM45-49" 63.98 "M" 18 "PB stays at 00:20:03" 58
"22" "druridgebay" "142" 22 "2933223" "22:11" 1331 "SM20-24" 58.75 "M" 19 "PB stays at 00:21:44" 22
"23" "druridgebay" "142" 23 "1470331" "22:13" 1333 "SM30-34" 58.51 "M" 20 "PB stays at 00:20:00" 8
"24" "druridgebay" "142" 24 "2058005" "22:21" 1341 "VM55-59" 68.75 "M" 21 "PB stays at 00:21:32" 11
