"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"237" "2019-02-16" 205 113 91 3.2275705533782 0.663799904438636 2.71798895841416 0.423460206177749 NA
"236" "2019-02-09" 150 84 61 3.19152791984296 0.495331691880515 2.68056409613732 0.399012882035578 NA
"235" "2019-01-26" 162 96 63 3.27569602329868 0.561455924998492 2.72645598211292 0.459134832083422 NA
"234" "2019-01-19" 187 100 81 3.19910118599019 0.574276720720831 2.7727597593461 0.368573897483992 NA
"233" "2019-01-12" 211 120 84 3.2297612416764 0.574698324750632 2.65191201837772 0.416696972499697 NA
"232" "2019-01-05" 223 125 95 3.21903236250432 0.524924363586543 2.63651209430335 0.406404853298601 NA
"231" "2019-01-01" 502 265 226 3.19960956672635 0.584340398236088 2.70075340601961 0.476846377689666 NA
"230" "2018-12-29" 232 129 97 3.17563871492372 0.577022527881262 2.73170167824186 0.467079774368767 NA
"229" "2018-12-25" 194 104 82 3.31571162465496 0.570204216328971 2.90359103297383 0.496113477333082 NA
"228" "2018-12-22" 185 113 71 3.31254420497943 0.618291885655342 2.71459121854625 0.462461165322774 NA
"227" "2018-12-15" 135 72 61 3.21088934141065 0.629041685280659 2.69108626379244 0.479043022167947 NA
"226" "2018-12-08" 140 82 54 3.09654062626898 0.571919109668217 2.68602505729922 0.425831850034877 NA
"225" "2018-12-01" 178 103 73 3.29654348121614 0.556276872945085 2.80159008764262 0.524556173086219 NA
"224" "2018-11-24" 186 93 86 3.37331153636331 0.582115301980097 2.66286268485821 0.504431457017604 NA
"223" "2018-11-17" 182 109 70 3.30037322419739 0.598273182005979 2.72480401284029 0.366281316918324 NA
"222" "2018-11-10" 183 94 79 3.17142666612114 0.628295761718156 2.67592525240119 0.466639392726645 NA
"221" "2018-11-03" 228 124 99 3.2177056885981 0.567107184727589 2.72070179845994 0.470668667680748 NA
"220" "2018-10-27" 115 60 53 3.37989023023637 0.560296689558406 2.7314582160787 0.444008026805354 NA
"219" "2018-10-20" 205 103 95 3.25263666635971 0.646914924181234 2.7548743212102 0.43327643090229 NA
"218" "2018-10-13" 149 81 63 3.53514143148544 0.517855286571042 2.78965473642337 0.470759237604965 NA
"217" "2018-10-06" 188 107 74 3.23299400865093 0.60744780240196 2.69006979886967 0.459347229486324 NA
"216" "2018-09-29" 162 85 75 3.31643110662075 0.529337402305956 2.66707204142085 0.410200408290557 NA
"215" "2018-09-22" 211 113 94 3.26787115208457 0.591401441791045 2.63891730187446 0.504618947552155 NA
"214" "2018-09-15" 185 109 74 3.26194756520021 0.549762346778302 2.68029142944816 0.451140189659465 NA
"213" "2018-09-08" 206 117 83 3.23918113966752 0.664774044929188 2.72280347005348 0.50296466627182 NA
"212" "2018-09-01" 247 148 86 2.97848327535572 0.65093609365048 2.66063523828505 0.547867405507025 NA
"211" "2018-08-25" 272 139 122 3.29393972893489 0.651666542540519 2.67459981845564 0.46791401956009 NA
"210" "2018-08-11" 209 102 97 3.1947712456617 0.59634680684516 2.74252387286773 0.431004620678417 NA
"209" "2018-08-04" 235 118 112 3.26270585119783 0.61745080300386 2.81539299582158 0.53029468409195 NA
"208" "2018-07-28" 222 116 100 3.30108352525653 0.631319345002293 2.67234847087398 0.48486960164298 NA
"207" "2018-07-21" 171 94 77 3.24760622957344 0.621897557137746 2.70275517589053 0.487942965306694 NA
"206" "2018-07-14" 174 91 78 3.19765238693659 0.517152264323492 2.68936601391571 0.412652023948177 NA
"205" "2018-07-07" 191 88 92 3.24259252037078 0.616119117133169 2.72640137292679 0.439770124156308 NA
"204" "2018-06-30" 213 108 97 3.27691999856366 0.658591825909708 2.73252518356522 0.5473209528669 NA
"203" "2018-06-23" 185 89 87 3.28235688109737 0.622389259114418 2.66119609140909 0.401961733253199 NA
"202" "2018-06-16" 185 95 88 3.34800585677427 0.567087212566687 2.69667047725486 0.500134265360831 NA
"201" "2018-06-09" 194 99 88 3.19714975681252 0.542650816398196 2.7344387969281 0.432862415076745 NA
"200" "2018-06-02" 293 150 133 3.26870124002002 0.563873456346732 2.69943501807196 0.465766496253118 NA
"199" "2018-05-26" 242 137 95 3.30995375932098 0.57660603064261 2.75761983966255 0.462931294970403 NA
"198" "2018-05-19" 175 101 68 3.21677026662939 0.596382200462338 2.69777045441815 0.476792118592111 NA
"197" "2018-05-12" 210 103 96 3.32428915163202 0.57698967006923 2.69495693960396 0.444423540984702 NA
