"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 651914 "16:48" 1008 "SM18-19" 78.47 "M" 1 "New PB!" 130
"2" 2 469100 "18:07" 1087 "JM15-17" 75.62 "M" 2 "New PB!" 18
"3" 3 3948993 "18:20" 1100 "SM25-29" 70.36 "M" 3 "First Timer!" 9
"4" 4 74782 "18:35" 1115 "JM11-14" 76.32 "M" 4 "PB stays at 00:16:53" 41
"5" 5 3983430 "18:44" 1124 "SM20-24" 68.86 "M" 5 "First Timer!" 1
"6" 6 NA NA NA NA NA NA NA NA NA
"7" 7 1923560 "18:58" 1138 "VM35-39" 70.39 "M" 7 "New PB!" 26
"8" 8 262397 "19:01" 1141 "SM20-24" 68.54 "M" 8 "PB stays at 00:18:22" 267
"9" 9 NA NA NA NA NA NA NA NA NA
"10" 10 2732144 "19:03" 1143 "SM18-19" 69.99 "M" 10 "New PB!" 8
"11" 11 46683 "19:05" 1145 "SM30-34" 68.38 "M" 11 "PB stays at 00:18:11" 94
"12" 12 3892833 "19:08" 1148 "SM20-24" 67.68 "M" 12 "New PB!" 5
"13" 13 177854 "19:09" 1149 "VM45-49" 76.41 "M" 13 "PB stays at 00:18:25" 77
"14" 14 804193 "19:18" 1158 "VM35-39" 70.21 "M" 14 "PB stays at 00:17:48" 198
"15" 15 277506 "19:24" 1164 "VM55-59" 81.27 "M" 15 "PB stays at 00:18:56" 105
"16" 16 239419 "19:32" 1172 "VM40-44" 71.5 "M" 16 "PB stays at 00:18:59" 210
"17" 17 3019768 "19:37" 1177 "SM18-19" 67.97 "M" 17 "First Timer!" 20
"18" 18 889310 "19:39" 1179 "SM20-24" 65.65 "M" 18 "First Timer!" 132
"19" 19 237057 "19:49" 1189 "JM15-17" 70.23 "M" 19 "PB stays at 00:17:11" 69
"20" 20 1670140 "19:50" 1190 "VM35-39" 67.31 "M" 20 "New PB!" 121
"21" 21 2203669 "20:03" 1203 "JM11-14" 74.15 "M" 21 "New PB!" 26
"22" 22 379923 "20:09" 1209 "JM15-17" 67.99 "M" 22 "PB stays at 00:18:04" 83
"23" 23 NA NA NA NA NA NA NA NA NA
"24" 24 3963941 "20:19" 1219 "SM18-19" 65.63 "M" 24 "New PB!" 11
"25" 25 21383 "20:19" 1219 "VM35-39" 65.3 "M" 25 "PB stays at 00:17:46" 56
"26" 26 2759477 "20:24" 1224 "SW20-24" 72.55 "F" 1 "New PB!" 13
"27" 27 3982055 "20:29" 1229 "SM25-29" 62.98 "M" 26 "First Timer!" 5
"28" 28 59830 "20:32" 1232 "VM45-49" 70.13 "M" 27 "PB stays at 00:19:39" 338
"29" 29 1405096 "20:34" 1234 "VM50-54" 72.29 "M" 28 "PB stays at 00:19:39" 162
"30" 30 312016 "20:36" 1236 "JM11-14" 70.39 "M" 29 "PB stays at 00:18:26" 251
"31" 31 NA NA NA NA NA NA NA NA NA
"32" 32 278418 "20:46" 1246 "VM45-49" 68.78 "M" 31 "New PB!" 11
"33" 33 271372 "20:48" 1248 "VM35-39" 65.14 "M" 32 "PB stays at 00:19:22" 142
"34" 34 1726805 "20:51" 1251 "VM40-44" 66.99 "M" 33 "PB stays at 00:20:34" 65
"35" 35 NA NA NA NA NA NA NA NA NA
"36" 36 3792196 "21:09" 1269 "SM20-24" 61.23 "M" 35 "New PB!" 4
"37" 37 1263231 "21:10" 1270 "VM70-74" 84.33 "M" 36 "First Timer!" 164
"38" 38 1906524 "21:11" 1271 "SM20-24" 61.53 "M" 37 "PB stays at 00:19:46" 107
"39" 39 1421617 "21:16" 1276 "SM25-29" 60.66 "M" 38 "New PB!" 81
"40" 40 19582 "21:18" 1278 "SM18-19" 62.6 "M" 39 "New PB!" 62
"41" 41 1405491 "21:18" 1278 "SM18-19" 62.6 "M" 40 "New PB!" 60
"42" 42 410795 "21:27" 1287 "SM25-29" 60.14 "M" 41 "PB stays at 00:20:31" 42
"43" 43 824633 "21:27" 1287 "SM25-29" 60.14 "M" 42 "PB stays at 00:20:38" 148
"44" 44 312051 "21:30" 1290 "JM11-14" 67.44 "M" 43 "PB stays at 00:19:02" 259
"45" 45 1327076 "21:32" 1292 "SM30-34" 60.91 "M" 44 "PB stays at 00:20:42" 18
"46" 46 1225598 "21:35" 1295 "SM20-24" 59.77 "M" 45 "First Timer!" 31
"47" 47 3913487 "21:35" 1295 "SM18-19" 61.78 "M" 46 "New PB!" 8
"48" 48 215888 "21:36" 1296 "VM50-54" 69.98 "M" 47 "PB stays at 00:20:06" 147
"49" 49 470345 "21:37" 1297 "SW18-19" 69.24 "F" 2 "First Timer!" 76
"50" 50 3944432 "21:38" 1298 "SM20-24" 59.63 "M" 48 "First Timer!" 17
"51" 51 3127469 "21:39" 1299 "SM20-24" 60.2 "M" 49 "New PB!" 7
"52" 52 3851959 "21:41" 1301 "SM30-34" 59.8 "M" 50 "New PB!" 4
"53" 53 3399573 "21:45" 1305 "SM20-24" 59.31 "M" 51 "PB stays at 00:19:37" 11
"54" 54 196787 "21:51" 1311 "SM18-19" 60.34 "M" 52 "PB stays at 00:19:30" 40
"55" 55 212254 "21:55" 1315 "VM40-44" 63.73 "M" 53 "First Timer!" 31
"56" 56 636462 "21:58" 1318 "VM55-59" 71.78 "M" 54 "PB stays at 00:21:48" 92
"57" 57 155501 "22:06" 1326 "SW20-24" 66.97 "F" 3 "PB stays at 00:20:29" 239
"58" 58 367648 "22:08" 1328 "VW35-39" 68.67 "F" 4 "PB stays at 00:20:36" 92
"59" 59 NA NA NA NA NA NA NA NA NA
"60" 60 1637499 "22:13" 1333 "SM20-24" 58.29 "M" 56 "First Timer!" 6
"61" 61 NA NA NA NA NA NA NA NA NA
"62" 62 3409446 "22:18" 1338 "SM30-34" 58 "M" 58 "PB stays at 00:20:06" 39
"63" 63 592958 "22:25" 1345 "VM45-49" 63.72 "M" 59 "First Timer!" 193
"64" 64 338632 "22:26" 1346 "SW20-24" 65.97 "F" 5 "PB stays at 00:21:32" 45
"65" 65 3724593 "22:27" 1347 "SM25-29" 57.46 "M" 60 "First Timer!" 3
"66" 66 308481 "22:30" 1350 "VM35-39" 60.22 "M" 61 "PB stays at 00:21:32" 261
"67" 67 1236922 "22:31" 1351 "SW20-24" 65.73 "F" 6 "New PB!" 158
"68" 68 1236165 "22:32" 1352 "VM35-39" 58.88 "M" 62 "PB stays at 00:21:42" 22
"69" 69 179028 "22:32" 1352 "VM50-54" 66.49 "M" 63 "PB stays at 00:20:48" 2
"70" 70 2860041 "22:33" 1353 "SW18-19" 65.85 "F" 7 "New PB!" 10
"71" 71 2858185 "22:33" 1353 "SW18-19" 65.85 "F" 8 "First Timer!" 10
"72" 72 58346 "22:37" 1357 "VM40-44" 61.75 "M" 64 "PB stays at 00:22:19" 156
"73" 73 3846158 "22:42" 1362 "SM30-34" 57.27 "M" 65 "First Timer!" 3
"74" 74 2659443 "22:48" 1368 "SM18-19" 57.82 "M" 66 "New PB!" 46
"75" 75 NA NA NA NA NA NA NA NA NA
