"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "durham" "72" 1 "176842" "17:16" 1036 "JM15-17" 78.19 "M" 1 "PB stays at 00:17:07" 5
"2" "durham" "72" 2 "290206" "17:48" 1068 "JM15-17" 76.97 "M" 2 "PB stays at 00:17:47" 141
"3" "durham" "72" 3 "406456" "17:58" 1078 "SM25-29" 71.8 "M" 3 "First Timer!" 2
"4" "durham" "72" 4 "365201" "18:02" 1082 "SM20-24" 72.27 "M" 4 "PB stays at 00:17:13" 39
"5" "durham" "72" 5 "160716" "18:30" 1110 "SM25-29" 69.73 "M" 5 "PB stays at 00:17:43" 24
"6" "durham" "72" 6 "260688" "18:48" 1128 "SM25-29" 68.62 "M" 6 "New PB!" 71
"7" "durham" "72" 7 "19511" "19:02" 1142 "JM15-17" 70.93 "M" 7 "PB stays at 00:17:42" 201
"8" "durham" "72" 8 "353597" "19:03" 1143 "VM45-49" 74.98 "M" 8 "PB stays at 00:18:57" 12
"9" "durham" "72" 9 "239489" "19:07" 1147 "VM45-49" 75.33 "M" 9 "PB stays at 00:18:30" 31
"10" "durham" "72" 10 "105463" "19:17" 1157 "VM45-49" 75.28 "M" 10 "First Timer!" 17
"11" "durham" "72" 11 "194394" "19:27" 1167 "VM35-39" 68.64 "M" 11 "PB stays at 00:19:00" 194
"12" "durham" "72" 12 "193519" "19:28" 1168 "VM40-44" 70.63 "M" 12 "New PB!" 61
"13" "durham" "72" 13 "173509" "19:43" 1183 "VM40-44" 70.25 "M" 13 "PB stays at 00:17:51" 329
"14" "durham" "72" 14 "132898" "19:45" 1185 "VM55-59" 78.48 "M" 14 "PB stays at 00:18:46" 8
"15" "durham" "72" 15 "292922" "19:47" 1187 "SM25-29" 65.21 "M" 15 "New PB!" 164
"16" "durham" "72" 16 "146316" "19:56" 1196 "VM40-44" 68.98 "M" 16 "PB stays at 00:18:43" 48
"17" "durham" "72" 17 "229562" "20:07" 1207 "VM35-39" 66.86 "M" 17 "PB stays at 00:17:51" 145
"18" "durham" "72" 18 "29229" "20:10" 1210 "VM45-49" 71.98 "M" 18 "PB stays at 00:19:47" 161
"19" "durham" "72" 19 "293693" "20:18" 1218 "SW30-34" 73.4 "F" 1 "PB stays at 00:19:43" 13
