"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "edinburgh" "185" 1 "43625" "17:04" 1024 "VM35-39" 77.73 "M" 1 "PB stays at 00:16:42" 69
"2" "edinburgh" "185" 2 "36880" "17:24" 1044 "VM35-39" 77.3 "M" 2 "PB stays at 00:16:01" 77
"3" "edinburgh" "185" 3 "110162" "17:24" 1044 "SM25-29" 74.14 "M" 3 "PB stays at 00:16:06" 14
"4" "edinburgh" "185" 4 "67445" "17:31" 1051 "VM35-39" 75.26 "M" 4 "PB stays at 00:16:21" 41
"5" "edinburgh" "185" 5 "155180" "17:43" 1063 "VM40-44" 78.17 "M" 5 "PB stays at 00:17:19" 230
"6" "edinburgh" "185" 6 "411059" "17:46" 1066 "SM25-29" 72.7 "M" 6 "New PB!" 235
"7" "edinburgh" "185" 7 "89233" "17:46" 1066 "SW25-29" 83.3 "F" 1 "PB stays at 00:17:28" 83
"8" "edinburgh" "185" 8 "222827" "17:49" 1069 "VM35-39" 75.49 "M" 7 "New PB!" 23
"9" "edinburgh" "185" 9 "138402" "17:54" 1074 "SM25-29" 72.07 "M" 8 "PB stays at 00:17:00" 62
"10" "edinburgh" "185" 10 "378053" "18:03" 1083 "VM35-39" 73.96 "M" 9 "New PB!" 2
"11" "edinburgh" "185" 11 "57044" "18:19" 1099 "SM30-34" 70.61 "M" 10 "First Timer!" 347
"12" "edinburgh" "185" 12 "170971" "18:29" 1109 "VM40-44" 76.1 "M" 11 "PB stays at 00:17:18" 217
"13" "edinburgh" "185" 13 "44806" "18:31" 1111 "SM30-34" 70.21 "M" 12 "PB stays at 00:17:47" 357
"14" "edinburgh" "185" 14 "97377" "18:36" 1116 "VM35-39" 70.88 "M" 13 "First Timer!" 324
"15" "edinburgh" "185" 15 NA NA NA NA NA NA NA NA NA
"16" "edinburgh" "185" 16 "337548" "18:43" 1123 "VM35-39" 70.88 "M" 15 "PB stays at 00:18:37" 61
"17" "edinburgh" "185" 17 "396142" "18:43" 1123 "SM25-29" 68.92 "M" 16 "First Timer!" 9
"18" "edinburgh" "185" 18 "45886" "18:48" 1128 "JM15-17" 71.81 "M" 17 "PB stays at 00:17:27" 77
"19" "edinburgh" "185" 19 "24306" "18:48" 1128 "VM45-49" 77.84 "M" 18 "PB stays at 00:18:20" 276
"20" "edinburgh" "185" 20 "110863" "18:54" 1134 "VM35-39" 70.19 "M" 19 "First Timer!" 39
"21" "edinburgh" "185" 21 "90731" "18:55" 1135 "VM35-39" 70.57 "M" 20 "PB stays at 00:17:31" 6
"22" "edinburgh" "185" 22 "516001" "18:58" 1138 "SM25-29" 68.01 "M" 21 "New PB!" 18
