"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "gibside" "65" 1 "241940" "19:01" 1141 "VM45-49" 76.34 "M" 1 "PB stays at 00:18:14" 36
"2" "gibside" "65" 2 "135500" "19:26" 1166 "VM35-39" 68.27 "M" 2 "First Timer!" 162
"3" "gibside" "65" 3 "362900" "19:43" 1183 "SM25-29" 65.43 "M" 3 "PB stays at 00:19:07" 115
"4" "gibside" "65" 4 "158316" "20:06" 1206 "VM50-54" 73.96 "M" 4 "New PB!" 257
"5" "gibside" "65" 5 "756848" "20:42" 1242 "VM40-44" 67.95 "M" 5 "New PB!" 6
"6" "gibside" "65" 6 "575608" "21:39" 1299 "SW25-29" 68.36 "F" 1 "New PB!" 139
"7" "gibside" "65" 7 "251764" "22:02" 1322 "SM30-34" 59.23 "M" 6 "New PB!" 42
"8" "gibside" "65" 8 "1726805" "22:55" 1375 "VM40-44" 59.56 "M" 7 "PB stays at 00:21:29" 65
"9" "gibside" "65" 9 "739589" "23:23" 1403 "JM11-14" 60.66 "M" 8 "PB stays at 00:18:48" 100
"10" "gibside" "65" 10 "406927" "23:26" 1406 "SM30-34" 55.33 "M" 9 "PB stays at 00:22:15" 152
"11" "gibside" "65" 11 "53961" "23:52" 1432 "SM30-34" 54.33 "M" 10 "PB stays at 00:22:26" 64
"12" "gibside" "65" 12 "1359375" "24:51" 1491 "VM60-64" 64.52 "M" 11 "PB stays at 00:24:16" 37
"13" "gibside" "65" 13 "222727" "25:14" 1514 "VM40-44" 55.35 "M" 12 "PB stays at 00:24:32" 47
"14" "gibside" "65" 14 "1202730" "25:29" 1529 "VM40-44" 54.35 "M" 13 "New PB!" 52
"15" "gibside" "65" 15 "109781" "25:45" 1545 "VM40-44" 53.01 "M" 14 "PB stays at 00:24:39" 29
"16" "gibside" "65" 16 "648819" "25:49" 1549 "SW25-29" 57.33 "F" 2 "New PB!" 28
"17" "gibside" "65" 17 "1041372" "26:17" 1577 "SM30-34" 49.46 "M" 15 "PB stays at 00:20:50" 136
"18" "gibside" "65" 18 "267970" "26:20" 1580 "SW25-29" 56.2 "F" 3 "First Timer!" 6
"19" "gibside" "65" 19 "1581580" "26:23" 1583 "VM40-44" 52.12 "M" 16 "New PB!" 42
"20" "gibside" "65" 20 "1817118" "26:23" 1583 "SM30-34" 49.46 "M" 17 "New PB!" 83
"21" "gibside" "65" 21 "1077161" "26:26" 1586 "VM60-64" 62.86 "M" 18 "PB stays at 00:25:07" 65
"22" "gibside" "65" 22 NA NA NA NA NA NA NA NA NA
"23" "gibside" "65" 23 "1712304" "27:22" 1642 "SM30-34" 47.5 "M" 20 "New PB!" 8
"24" "gibside" "65" 24 "860581" "27:36" 1656 "VW45-49" 58.09 "F" 4 "New PB!" 93
"25" "gibside" "65" 25 "608983" "27:50" 1670 "SM25-29" 46.41 "M" 21 "PB stays at 00:24:19" 189
"26" "gibside" "65" 26 "671020" "28:31" 1711 "VM45-49" 49.74 "M" 22 "PB stays at 00:25:57" 108
"27" "gibside" "65" 27 NA NA NA NA NA NA NA NA NA
"28" "gibside" "65" 28 "769780" "28:45" 1725 "SM25-29" 44.87 "M" 24 "PB stays at 00:25:42" 109
"29" "gibside" "65" 29 "272363" "29:56" 1796 "VW45-49" 55.35 "F" 5 "PB stays at 00:27:32" 93
"30" "gibside" "65" 30 NA NA NA NA NA NA NA NA NA
"31" "gibside" "65" 31 "1740546" "30:05" 1805 "SW30-34" 49.42 "F" 6 "First Timer!" 42
"32" "gibside" "65" 32 "1833467" "30:27" 1827 "VM50-54" 48.44 "M" 26 "First Timer!" 1
"33" "gibside" "65" 33 "504042" "30:31" 1831 "VW40-44" 51.17 "F" 7 "First Timer!" 23
"34" "gibside" "65" 34 "1589110" "30:32" 1832 "SM30-34" 42.58 "M" 27 "First Timer!" 144
"35" "gibside" "65" 35 "866459" "30:48" 1848 "VW45-49" 53.79 "F" 8 "PB stays at 00:29:00" 67
"36" "gibside" "65" 36 "173284" "30:48" 1848 "SW25-29" 48.05 "F" 9 "New PB!" 32
"37" "gibside" "65" 37 "1182703" "31:45" 1905 "SW20-24" 46.61 "F" 10 "First Timer!" 90
"38" "gibside" "65" 38 "1561306" "31:47" 1907 "VW35-39" 47.35 "F" 11 "PB stays at 00:30:02" 18
"39" "gibside" "65" 39 "157936" "32:28" 1948 "VW50-54" 52.93 "F" 12 "New PB!" 280
"40" "gibside" "65" 40 "391184" "32:36" 1956 "VW65-69" 66.1 "F" 13 "New PB!" 71
"41" "gibside" "65" 41 "1832090" "32:43" 1963 "SW25-29" 45.24 "F" 14 "First Timer!" 1
"42" "gibside" "65" 42 "1673887" "33:47" 2027 "SW30-34" 44.1 "F" 15 "First Timer!" 4
"43" "gibside" "65" 43 "1779565" "34:58" 2098 "VW50-54" 48.52 "F" 16 "New PB!" 3
"44" "gibside" "65" 44 "1829973" "36:06" 2166 "SM25-29" 35.73 "M" 28 "First Timer!" 3
"45" "gibside" "65" 45 "1611483" "39:11" 2351 "VW60-64" 49.51 "F" 17 "PB stays at 00:34:44" 13
"46" "gibside" "65" 46 "811005" "39:12" 2352 "VW45-49" 42.26 "F" 18 "PB stays at 00:22:15" 30
