"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "hartlepool" "237" 1 "45950" "16:14" 974 "SM30-34" 79.67 "M" 1 "PB stays at 00:15:43" 128
"2" "hartlepool" "237" 2 "292922" "16:44" 1004 "SM30-34" 77.69 "M" 2 "PB stays at 00:16:43" 165
"3" "hartlepool" "237" 3 "667170" "17:30" 1050 "VM45-49" 81.62 "M" 3 "PB stays at 00:17:20" 140
"4" "hartlepool" "237" 4 "3832179" "19:05" 1145 "VM35-39" 69.08 "M" 4 "PB stays at 00:18:45" 22
"5" "hartlepool" "237" 5 "1958363" "19:29" 1169 "VM45-49" 73.91 "M" 5 "New PB!" 94
"6" "hartlepool" "237" 6 "2075276" "19:50" 1190 "VM50-54" 76.22 "M" 6 "First Timer!" 41
"7" "hartlepool" "237" 7 "262037" "19:50" 1190 "SM30-34" 65.55 "M" 7 "PB stays at 00:16:42" 166
"8" "hartlepool" "237" 8 NA NA NA NA NA NA NA NA NA
"9" "hartlepool" "237" 9 "262077" "20:42" 1242 "SW30-34" 71.66 "F" 1 "New PB!" 101
"10" "hartlepool" "237" 10 "4478541" "20:53" 1253 "JM11-14" 67.92 "M" 9 "First Timer!" 10
"11" "hartlepool" "237" 11 "533505" "20:54" 1254 "VM45-49" 68.34 "M" 10 "New PB!" 111
"12" "hartlepool" "237" 12 "4352883" "20:57" 1257 "SM30-34" 61.73 "M" 11 "PB stays at 00:20:46" 8
"13" "hartlepool" "237" 13 "1154556" "21:00" 1260 "SM20-24" 61.43 "M" 12 "First Timer!" 2
"14" "hartlepool" "237" 14 "2961637" "21:03" 1263 "VM35-39" 63.9 "M" 13 "PB stays at 00:19:25" 57
"15" "hartlepool" "237" 15 "1154914" "21:12" 1272 "SM20-24" 60.85 "M" 14 "New PB!" 2
"16" "hartlepool" "237" 16 "991081" "21:12" 1272 "VM55-59" 73.74 "M" 15 "PB stays at 00:20:16" 206
"17" "hartlepool" "237" 17 "2567254" "21:27" 1287 "VM45-49" 67.13 "M" 16 "PB stays at 00:20:12" 37
"18" "hartlepool" "237" 18 "1607836" "21:35" 1295 "VM35-39" 61.47 "M" 17 "PB stays at 00:20:19" 11
"19" "hartlepool" "237" 19 "3058058" "21:38" 1298 "VM50-54" 70.42 "M" 18 "PB stays at 00:19:55" 67
"20" "hartlepool" "237" 20 "268350" "21:45" 1305 "VM55-59" 72.49 "M" 19 "PB stays at 00:21:12" 151
"21" "hartlepool" "237" 21 "4719197" "22:01" 1321 "SM25-29" 58.67 "M" 20 "First Timer!" 3
"22" "hartlepool" "237" 22 "870756" "22:02" 1322 "VM35-39" 61.04 "M" 21 "PB stays at 00:19:19" 211
"23" "hartlepool" "237" 23 "3045491" "22:15" 1335 "SW25-29" 66.52 "F" 2 "First Timer!" 6
"24" "hartlepool" "237" 24 "1841463" "22:35" 1355 "SM30-34" 57.56 "M" 22 "New PB!" 120
"25" "hartlepool" "237" 25 "89510" "22:38" 1358 "VM35-39" 58.98 "M" 23 "New PB!" 12
"26" "hartlepool" "237" 26 "808314" "22:41" 1361 "SM30-34" 57.31 "M" 24 "PB stays at 00:20:10" 86
"27" "hartlepool" "237" 27 "94393" "22:54" 1374 "VW45-49" 70.74 "F" 3 "New PB!" 96
"28" "hartlepool" "237" 28 "4126800" "23:09" 1389 "VM35-39" 56.95 "M" 25 "PB stays at 00:22:50" 36
"29" "hartlepool" "237" 29 "4754523" "23:12" 1392 "VM35-39" 57.54 "M" 26 "New PB!" 13
"30" "hartlepool" "237" 30 "610893" "23:20" 1400 "VM40-44" 59.86 "M" 27 "PB stays at 00:19:54" 64
"31" "hartlepool" "237" 31 "959549" "23:30" 1410 "VM55-59" 65.39 "M" 28 "PB stays at 00:22:18" 196
"32" "hartlepool" "237" 32 NA NA NA NA NA NA NA NA NA
"33" "hartlepool" "237" 33 "4706455" "23:37" 1417 "VM50-54" 62.46 "M" 30 "New PB!" 34
"34" "hartlepool" "237" 34 "1158176" "23:40" 1420 "VM40-44" 58.52 "M" 31 "PB stays at 00:22:19" 57
"35" "hartlepool" "237" 35 "3182503" "23:46" 1426 "SM30-34" 54.91 "M" 32 "New PB!" 19
"36" "hartlepool" "237" 36 "3202618" "23:50" 1430 "VM45-49" 60.42 "M" 33 "New PB!" 13
