"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"263" "2019-05-18" 137 75 53 3.37334757129874 0.619575049611723 2.67472281963086 0.50021813511275 NA
"262" "2019-05-11" 101 48 45 3.30466523040658 0.705551085033261 2.7152605214582 0.494703153077559 NA
"261" "2019-05-04" 84 48 29 3.30346540873852 0.535356218892169 2.65483647537777 0.316401602977119 NA
"260" "2019-04-27" 194 109 79 3.42983948276586 0.638477081241309 2.71683379372496 0.469321919824773 NA
"259" "2019-04-20" 154 89 59 3.40244156202072 0.633923324062259 2.79822578967671 0.562028066689563 NA
"258" "2019-04-13" 103 59 36 3.26048554314316 0.579954041819478 2.74122233056655 0.436031811175991 NA
"257" "2019-04-06" 129 82 43 3.41888638693934 0.651032737772546 2.70612485624024 0.436938417510204 NA
"256" "2019-03-30" 159 84 72 3.61192149533068 0.642391173686223 2.61416387657122 0.544800239282367 NA
"255" "2019-03-23" 139 81 51 3.47316154476689 0.539909544063072 2.71070909652265 0.44367656901381 NA
"254" "2019-03-16" 62 34 23 3.27104918705479 0.579730845741519 2.75653283080793 0.426308078105265 NA
"253" "2019-03-09" 103 55 43 3.20474503929484 0.53200542807402 2.53008455999241 0.50509382650314 NA
"252" "2019-03-02" 146 85 54 3.43943459357578 0.615400669343905 2.67182703265323 0.465517585994668 NA
"251" "2019-02-23" 120 66 43 3.3607266031516 0.635564684272058 2.70263665741605 0.495160010156511 NA
"250" "2019-02-16" 109 60 45 3.36993663773505 0.517399611500657 2.69518939006413 0.355838721562153 NA
"249" "2019-02-09" 60 33 23 3.18763291428581 0.551283447511133 2.72316695019862 0.377286292863374 NA
"248" "2019-01-26" 154 82 67 3.30084820596649 0.50832015443603 2.75945429217917 0.397239586189518 NA
"247" "2019-01-19" 100 57 37 3.34873184906466 0.61008145105521 2.69428359334568 0.31637400909631 NA
"246" "2019-01-12" 137 74 52 3.15267255054192 0.574625123422606 2.61878273609649 0.318060745108608 NA
"245" "2019-01-05" 128 68 56 3.29553598719996 0.587695279043669 2.64399851274117 0.368119194045609 NA
"244" "2019-01-01" 282 151 124 3.41066346704344 0.611245383399807 2.69706086025078 0.469170522770686 NA
"243" "2018-12-29" 144 70 46 3.19174954363364 0.502735890604749 2.69229363446214 0.433038820219652 NA
"242" "2018-12-25" 105 57 38 3.40808449374551 0.574349894039455 2.90944708057388 0.49326517143966 NA
"241" "2018-12-22" 92 59 31 3.29927778867355 0.51874209610013 2.6621225513121 0.591786806136226 NA
"240" "2018-12-15" 47 33 14 3.11494140786015 0.495286814371123 2.69872472456242 0.439035848884294 NA
"239" "2018-12-08" 51 32 16 3.26299589878703 0.498620655579376 2.87360175317976 0.463620538005934 NA
"238" "2018-12-01" 82 63 17 3.45436393263967 0.565273671097367 2.85125682374723 0.370357881430238 NA
"237" "2018-11-24" 101 62 36 3.45886164006377 0.631253309530692 2.89133167867737 0.508877556468622 NA
"236" "2018-11-17" 100 66 28 3.35602764132613 0.533185102972914 2.88694044962425 0.369420194779137 NA
"235" "2018-11-10" 110 54 46 3.15309747876648 0.617125926314097 2.57016293019388 0.441111576121914 NA
"234" "2018-11-03" 71 42 27 3.31061909502263 0.469431750699055 2.6237493192718 0.535910400996867 NA
"233" "2018-10-27" 65 36 28 3.26107002609373 0.751878553242533 2.81837113742806 0.530898724462287 NA
"232" "2018-10-20" 112 73 36 3.41929779358825 0.594106211344594 2.76586626849473 0.504210451730459 NA
"231" "2018-10-13" 34 21 11 3.41975850009319 0.528176745489187 2.71518240149054 0.450948815957844 NA
"230" "2018-10-06" 88 46 31 3.35343013770907 0.583378469762468 2.68297145182615 0.437982934188327 NA
"229" "2018-09-29" 96 57 36 3.41260568629393 0.521581705707207 2.61321948138839 0.44361705626062 NA
"228" "2018-09-22" 105 62 38 3.4144919535736 0.603738497776891 2.67481579910852 0.405848611324371 NA
