"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "lincoln" "205" 1 NA NA NA NA NA NA NA NA NA
"2" "lincoln" "205" 2 "591344" "17:22" 1042 "JM15-17" 77.74 "M" 2 "PB stays at 00:17:09" 126
"3" "lincoln" "205" 3 NA NA NA NA NA NA NA NA NA
"4" "lincoln" "205" 4 "800778" "17:45" 1065 "VM40-44" 78.69 "M" 4 "PB stays at 00:17:08" 153
"5" "lincoln" "205" 5 "1111979" "17:57" 1077 "VM35-39" 74.93 "M" 5 "PB stays at 00:16:55" 163
"6" "lincoln" "205" 6 "1310692" "18:27" 1107 "SM18-19" 72.27 "M" 6 "PB stays at 00:17:43" 124
"7" "lincoln" "205" 7 "629056" "18:45" 1125 "VM45-49" 76.8 "M" 7 "PB stays at 00:17:59" 77
"8" "lincoln" "205" 8 "743320" "18:47" 1127 "VM35-39" 70.63 "M" 8 "New PB!" 123
"9" "lincoln" "205" 9 "367798" "19:06" 1146 "VM45-49" 76 "M" 9 "First Timer!" 43
"10" "lincoln" "205" 10 "487377" "19:07" 1147 "SW30-34" 77.94 "F" 1 "PB stays at 00:18:56" 19
"11" "lincoln" "205" 11 NA NA NA NA NA NA NA NA NA
"12" "lincoln" "205" 12 "2193186" "19:10" 1150 "SW25-29" 77.22 "F" 2 "PB stays at 00:18:21" 33
"13" "lincoln" "205" 13 "588493" "19:15" 1155 "JM11-14" 75.32 "M" 11 "New PB!" 17
"14" "lincoln" "205" 14 "588514" "19:20" 1160 "VM45-49" 73.88 "M" 12 "PB stays at 00:18:53" 18
"15" "lincoln" "205" 15 "607844" "19:21" 1161 "VM50-54" 76.23 "M" 13 "PB stays at 00:17:22" 127
"16" "lincoln" "205" 16 NA NA NA NA NA NA NA NA NA
"17" "lincoln" "205" 17 NA NA NA NA NA NA NA NA NA
"18" "lincoln" "205" 18 NA NA NA NA NA NA NA NA NA
"19" "lincoln" "205" 19 "1051855" "19:38" 1178 "SW25-29" 75.38 "F" 3 "New PB!" 21
"20" "lincoln" "205" 20 "3795628" "19:51" 1191 "SM30-34" 65.49 "M" 17 "First Timer!" 30
"21" "lincoln" "205" 21 "701110" "20:04" 1204 "VM35-39" 66.11 "M" 18 "PB stays at 00:19:39" 157
"22" "lincoln" "205" 22 "2483231" "20:10" 1210 "SM30-34" 64.3 "M" 19 "PB stays at 00:18:45" 50
"23" "lincoln" "205" 23 "1144953" "20:21" 1221 "SM25-29" 63.47 "M" 20 "PB stays at 00:18:52" 41
"24" "lincoln" "205" 24 "1181657" "20:23" 1223 "VM40-44" 66.97 "M" 21 "PB stays at 00:18:59" 111
"25" "lincoln" "205" 25 "1755842" "20:24" 1224 "VM35-39" 65.03 "M" 22 "PB stays at 00:19:34" 128
"26" "lincoln" "205" 26 "99494" "20:26" 1226 "VM50-54" 72.19 "M" 23 "PB stays at 00:19:51" 47
"27" "lincoln" "205" 27 "996319" "20:30" 1230 "VM50-54" 71.95 "M" 24 "PB stays at 00:20:24" 60
"28" "lincoln" "205" 28 "883020" "20:31" 1231 "VM35-39" 64.66 "M" 25 "PB stays at 00:18:59" 5
"29" "lincoln" "205" 29 "183299" "20:36" 1236 "VM40-44" 67.8 "M" 26 "PB stays at 00:19:45" 120
"30" "lincoln" "205" 30 "1265282" "20:46" 1246 "JM10" 78.73 "M" 27 "PB stays at 00:18:35" 127
"31" "lincoln" "205" 31 "1726458" "20:46" 1246 "VW35-39" 72.87 "F" 4 "PB stays at 00:18:57" 107
"32" "lincoln" "205" 32 "1035144" "20:46" 1246 "SM30-34" 62.84 "M" 28 "PB stays at 00:18:23" 102
"33" "lincoln" "205" 33 "319047" "20:47" 1247 "VM55-59" 75.22 "M" 29 "PB stays at 00:18:39" 126
"34" "lincoln" "205" 34 "1237397" "20:48" 1248 "VM45-49" 68.67 "M" 30 "PB stays at 00:19:14" 141
"35" "lincoln" "205" 35 "3772104" "20:50" 1250 "VM45-49" 70.24 "M" 31 "New PB!" 18
"36" "lincoln" "205" 36 "884569" "20:53" 1253 "VM45-49" 70.07 "M" 32 "First Timer!" 42
"37" "lincoln" "205" 37 "700676" "20:54" 1254 "VM50-54" 71.13 "M" 33 "PB stays at 00:19:02" 50
"38" "lincoln" "205" 38 "706915" "20:55" 1255 "VM45-49" 69.4 "M" 34 "PB stays at 00:20:22" 241
"39" "lincoln" "205" 39 "761713" "20:58" 1258 "JM11-14" 69.16 "M" 35 "PB stays at 00:19:41" 57
"40" "lincoln" "205" 40 "1488218" "21:21" 1281 "SW25-29" 69.32 "F" 5 "PB stays at 00:20:22" 122
"41" "lincoln" "205" 41 NA NA NA NA NA NA NA NA NA
"42" "lincoln" "205" 42 "3367049" "21:27" 1287 "SM25-29" 60.14 "M" 37 "New PB!" 23
"43" "lincoln" "205" 43 "4103846" "21:27" 1287 "VM45-49" 66.59 "M" 38 "First Timer!" 1
"44" "lincoln" "205" 44 "765967" "21:34" 1294 "VM55-59" 71.25 "M" 39 "PB stays at 00:20:55" 52
"45" "lincoln" "205" 45 "855887" "21:36" 1296 "VW40-44" 71.22 "F" 6 "PB stays at 00:20:56" 59
"46" "lincoln" "205" 46 "560466" "21:38" 1298 "VM55-59" 72.88 "M" 40 "PB stays at 00:20:17" 233
"47" "lincoln" "205" 47 "3941384" "21:41" 1301 "VM35-39" 61.57 "M" 41 "New PB!" 17
"48" "lincoln" "205" 48 "19072" "21:42" 1302 "VM50-54" 68.51 "M" 42 "First Timer!" 410
"49" "lincoln" "205" 49 "2464729" "21:45" 1305 "SM20-24" 59.31 "M" 43 "PB stays at 00:20:13" 117
"50" "lincoln" "205" 50 "317402" "21:47" 1307 "VM45-49" 66.64 "M" 44 "PB stays at 00:20:37" 153
"51" "lincoln" "205" 51 "846470" "21:49" 1309 "VM45-49" 67.07 "M" 45 "PB stays at 00:20:48" 116
"52" "lincoln" "205" 52 "588555" "21:51" 1311 "JM11-14" 70.02 "M" 46 "First Timer!" 9
"53" "lincoln" "205" 53 NA NA NA NA NA NA NA NA NA
"54" "lincoln" "205" 54 "1111488" "21:53" 1313 "VM40-44" 63.82 "M" 48 "PB stays at 00:21:37" 153
"55" "lincoln" "205" 55 "1423610" "21:53" 1313 "SM30-34" 59.1 "M" 49 "PB stays at 00:20:06" 79
"56" "lincoln" "205" 56 "829518" "22:02" 1322 "JM11-14" 67.47 "M" 50 "PB stays at 00:19:23" 114
"57" "lincoln" "205" 57 "1530860" "22:04" 1324 "VM45-49" 64.27 "M" 51 "PB stays at 00:21:07" 146
"58" "lincoln" "205" 58 "917097" "22:10" 1330 "VW35-39" 67.44 "F" 7 "PB stays at 00:20:49" 132
"59" "lincoln" "205" 59 "3181130" "22:15" 1335 "SM25-29" 58.05 "M" 52 "New PB!" 53
"60" "lincoln" "205" 60 "586937" "22:17" 1337 "VM45-49" 65.15 "M" 53 "PB stays at 00:19:35" 183
"61" "lincoln" "205" 61 "3019072" "22:17" 1337 "JM10" 73.37 "M" 54 "New PB!" 11
"62" "lincoln" "205" 62 "726459" "22:22" 1342 "VM35-39" 60.58 "M" 55 "PB stays at 00:22:13" 23
"63" "lincoln" "205" 63 "2676732" "22:28" 1348 "VM35-39" 59.05 "M" 56 "PB stays at 00:21:07" 31
"64" "lincoln" "205" 64 "3586833" "22:29" 1349 "JW10" 83.47 "F" 8 "First Timer!" 1
"65" "lincoln" "205" 65 "2917349" "22:36" 1356 "VM40-44" 61.28 "M" 57 "PB stays at 00:21:14" 38
"66" "lincoln" "205" 66 "548816" "22:37" 1357 "VM55-59" 68.53 "M" 58 "PB stays at 00:21:27" 166
"67" "lincoln" "205" 67 NA NA NA NA NA NA NA NA NA
"68" "lincoln" "205" 68 "1313825" "22:45" 1365 "SM20-24" 56.7 "M" 60 "New PB!" 33
"69" "lincoln" "205" 69 "539022" "22:49" 1369 "VW40-44" 68.44 "F" 9 "PB stays at 00:21:16" 17
"70" "lincoln" "205" 70 "4098366" "22:50" 1370 "SM20-24" 57.08 "M" 61 "First Timer!" 10
"71" "lincoln" "205" 71 "737660" "22:52" 1372 "VM55-59" 69.53 "M" 62 "PB stays at 00:21:29" 145
"72" "lincoln" "205" 72 "1485353" "22:55" 1375 "VW45-49" 71.42 "F" 10 "PB stays at 00:21:31" 108
"73" "lincoln" "205" 73 "1120057" "23:00" 1380 "JM11-14" 64.64 "M" 63 "PB stays at 00:20:24" 41
"74" "lincoln" "205" 74 "937924" "23:01" 1381 "VW45-49" 71.98 "F" 11 "PB stays at 00:22:06" 75
"75" "lincoln" "205" 75 "849940" "23:05" 1385 "JM11-14" 61.44 "M" 64 "PB stays at 00:19:53" 61
"76" "lincoln" "205" 76 "3387441" "23:08" 1388 "JM10" 76.95 "M" 65 "PB stays at 00:20:55" 84
"77" "lincoln" "205" 77 "657756" "23:09" 1389 "VM40-44" 59.83 "M" 66 "PB stays at 00:18:47" 89
"78" "lincoln" "205" 78 "741016" "23:18" 1398 "VM45-49" 61.8 "M" 67 "PB stays at 00:21:43" 118
"79" "lincoln" "205" 79 "1406067" "23:23" 1403 "VM45-49" 61.08 "M" 68 "PB stays at 00:20:29" 104
"80" "lincoln" "205" 80 "2450696" "23:24" 1404 "SM30-34" 56.05 "M" 69 "First Timer!" 6
"81" "lincoln" "205" 81 "744680" "23:29" 1409 "VW55-59" 77.08 "F" 12 "New PB!" 21
"82" "lincoln" "205" 82 "1402603" "23:30" 1410 "JW15-17" 65.96 "F" 13 "PB stays at 00:21:52" 143
"83" "lincoln" "205" 83 "3932639" "23:33" 1413 "VM50-54" 62.63 "M" 70 "New PB!" 8
"84" "lincoln" "205" 84 "1784573" "23:34" 1414 "VM40-44" 58.35 "M" 71 "PB stays at 00:21:36" 42
"85" "lincoln" "205" 85 "748083" "23:44" 1424 "VM50-54" 62.15 "M" 72 "PB stays at 00:20:19" 197
"86" "lincoln" "205" 86 "2319623" "23:45" 1425 "VM40-44" 57.89 "M" 73 "PB stays at 00:21:49" 51
"87" "lincoln" "205" 87 "941349" "23:48" 1428 "VM50-54" 64.01 "M" 74 "PB stays at 00:21:42" 188
"88" "lincoln" "205" 88 NA NA NA NA NA NA NA NA NA
"89" "lincoln" "205" 89 "2580446" "23:50" 1430 "VM50-54" 62.38 "M" 76 "PB stays at 00:22:11" 93
"90" "lincoln" "205" 90 "2128302" "23:51" 1431 "VM35-39" 55.63 "M" 77 "PB stays at 00:21:38" 17
"91" "lincoln" "205" 91 NA NA NA NA NA NA NA NA NA
"92" "lincoln" "205" 92 "3064346" "23:53" 1433 "SM25-29" 54.01 "M" 79 "New PB!" 18
"93" "lincoln" "205" 93 "1591281" "23:54" 1434 "SW30-34" 61.99 "F" 14 "PB stays at 00:23:18" 21
"94" "lincoln" "205" 94 "1947049" "24:01" 1441 "JM11-14" 59.06 "M" 80 "PB stays at 00:22:11" 70
"95" "lincoln" "205" 95 "944485" "24:02" 1442 "VM45-49" 59.43 "M" 81 "PB stays at 00:20:22" 36
"96" "lincoln" "205" 96 "930007" "24:03" 1443 "VM40-44" 56.76 "M" 82 "PB stays at 00:21:26" 202
"97" "lincoln" "205" 97 "1040164" "24:04" 1444 "VM45-49" 60.8 "M" 83 "PB stays at 00:22:36" 71
"98" "lincoln" "205" 98 "631437" "24:06" 1446 "VM50-54" 62.72 "M" 84 "PB stays at 00:21:22" 39
"99" "lincoln" "205" 99 "1791339" "24:06" 1446 "VM50-54" 61.2 "M" 85 "PB stays at 00:23:35" 90
"100" "lincoln" "205" 100 "1228803" "24:06" 1446 "VW45-49" 67.91 "F" 15 "PB stays at 00:23:20" 186
"101" "lincoln" "205" 101 "1267475" "24:08" 1448 "JM11-14" 61.6 "M" 86 "PB stays at 00:21:22" 154
"102" "lincoln" "205" 102 "2298776" "24:09" 1449 "VW50-54" 69.43 "F" 16 "New PB!" 84
"103" "lincoln" "205" 103 "780708" "24:14" 1454 "VM50-54" 61.83 "M" 87 "PB stays at 00:22:42" 60
"104" "lincoln" "205" 104 "1267470" "24:14" 1454 "JW11-14" 65.89 "F" 17 "PB stays at 00:21:43" 155
"105" "lincoln" "205" 105 "751324" "24:19" 1459 "VM55-59" 64.29 "M" 88 "PB stays at 00:21:16" 175
"106" "lincoln" "205" 106 "2128650" "24:25" 1465 "VM40-44" 56.31 "M" 89 "PB stays at 00:23:26" 36
"107" "lincoln" "205" 107 "1722708" "24:33" 1473 "VM45-49" 59.61 "M" 90 "PB stays at 00:22:52" 33
"108" "lincoln" "205" 108 "3302448" "24:39" 1479 "VM55-59" 62.34 "M" 91 "New PB!" 48
"109" "lincoln" "205" 109 "3084168" "24:40" 1480 "VM45-49" 57.5 "M" 92 "PB stays at 00:22:03" 89
"110" "lincoln" "205" 110 "2110784" "24:40" 1480 "SM30-34" 52.7 "M" 93 "PB stays at 00:22:52" 45
"111" "lincoln" "205" 111 "3470921" "24:42" 1482 "VM45-49" 57.83 "M" 94 "PB stays at 00:23:49" 22
"112" "lincoln" "205" 112 "2268478" "24:42" 1482 "VM40-44" 56.95 "M" 95 "PB stays at 00:22:47" 31
"113" "lincoln" "205" 113 "4094503" "24:44" 1484 "SM25-29" 52.16 "M" 96 "First Timer!" 3
"114" "lincoln" "205" 114 "3759372" "24:45" 1485 "JW15-17" 61.82 "F" 18 "New PB!" 50
"115" "lincoln" "205" 115 "2890300" "24:48" 1488 "SW20-24" 59.68 "F" 19 "New PB!" 43
"116" "lincoln" "205" 116 "737065" "24:49" 1489 "SM25-29" 51.98 "M" 97 "PB stays at 00:21:32" 13
"117" "lincoln" "205" 117 "1360037" "24:50" 1490 "VM35-39" 54.16 "M" 98 "PB stays at 00:20:53" 100
"118" "lincoln" "205" 118 "707316" "24:54" 1494 "SW30-34" 59.44 "F" 20 "PB stays at 00:22:37" 205
"119" "lincoln" "205" 119 "1830893" "24:54" 1494 "VM35-39" 53.28 "M" 99 "PB stays at 00:21:47" 98
"120" "lincoln" "205" 120 "541287" "24:54" 1494 "VM70-74" 71.69 "M" 100 "PB stays at 00:23:24" 141
"121" "lincoln" "205" 121 "1072800" "24:55" 1495 "SW20-24" 59.4 "F" 21 "New PB!" 13
"122" "lincoln" "205" 122 "3420510" "24:59" 1499 "SM25-29" 51.63 "M" 101 "PB stays at 00:23:23" 15
"123" "lincoln" "205" 123 NA NA NA NA NA NA NA NA NA
"124" "lincoln" "205" 124 "1163131" "25:03" 1503 "SM20-24" 51.7 "M" 103 "First Timer!" 3
"125" "lincoln" "205" 125 "1267458" "25:05" 1505 "VW50-54" 67.64 "F" 22 "PB stays at 00:23:32" 121
"126" "lincoln" "205" 126 "1371950" "25:07" 1507 "VM55-59" 62.24 "M" 104 "First Timer!" 71
"127" "lincoln" "205" 127 "525909" "25:09" 1509 "SM25-29" 51.29 "M" 105 "PB stays at 00:21:48" 192
"128" "lincoln" "205" 128 "769414" "25:09" 1509 "VM60-64" 64.35 "M" 106 "PB stays at 00:24:26" 146
"129" "lincoln" "205" 129 "851604" "25:10" 1510 "VM40-44" 55.89 "M" 107 "New PB!" 77
"130" "lincoln" "205" 130 "3963652" "25:16" 1516 "VW40-44" 61.35 "F" 23 "First Timer!" 2
"131" "lincoln" "205" 131 "4105466" "25:19" 1519 "VW35-39" 59.45 "F" 24 "First Timer!" 2
