"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"262" "2019-02-16" NA NA NA NA NA NA NA NA
"261" "2019-02-09" NA NA NA NA NA NA NA NA
"260" "2019-02-02" NA NA NA NA NA NA NA NA
"259" "2019-01-26" NA NA NA NA NA NA NA NA
"258" "2019-01-19" NA NA NA NA NA NA NA NA
"257" "2019-01-12" NA NA NA NA NA NA NA NA
"256" "2019-01-05" NA NA NA NA NA NA NA NA
"255" "2018-12-29" NA NA NA NA NA NA NA NA
"254" "2018-12-22" NA NA NA NA NA NA NA NA
"253" "2018-12-15" NA NA NA NA NA NA NA NA
"252" "2018-12-08" NA NA NA NA NA NA NA NA
"251" "2018-12-01" NA NA NA NA NA NA NA NA
"250" "2018-11-24" NA NA NA NA NA NA NA NA
"249" "2018-11-17" NA NA NA NA NA NA NA NA
"248" "2018-11-10" NA NA NA NA NA NA NA NA
"247" "2018-11-03" NA NA NA NA NA NA NA NA
"246" "2018-10-27" NA NA NA NA NA NA NA NA
"245" "2018-10-20" NA NA NA NA NA NA NA NA
"244" "2018-10-13" NA NA NA NA NA NA NA NA
"243" "2018-10-06" NA NA NA NA NA NA NA NA
"242" "2018-09-29" NA NA NA NA NA NA NA NA
"241" "2018-09-22" NA NA NA NA NA NA NA NA
"240" "2018-09-15" NA NA NA NA NA NA NA NA
"239" "2018-09-08" NA NA NA NA NA NA NA NA
"238" "2018-09-01" NA NA NA NA NA NA NA NA
"237" "2018-08-25" NA NA NA NA NA NA NA NA
"236" "2018-08-18" NA NA NA NA NA NA NA NA
"235" "2018-08-11" NA NA NA NA NA NA NA NA
"234" "2018-08-04" NA NA NA NA NA NA NA NA
"233" "1" 333 173 142 3.19805133647041 0.57772027788503 2.73499247247214 0.49983966522097 NA
"232" "1" 415 222 170 3.15163740443767 0.598904379064522 2.56460802003075 0.472033053913377 NA
"231" "1" 423 217 182 3.18711848280996 0.597059045051914 2.5536352624676 0.491550838565918 NA
"230" "1" 342 176 140 3.16863291947551 0.631719477081614 2.61880495141106 0.460761179913608 NA
"229" "1" 480 241 213 3.15496400547896 0.631446066612428 2.64090775379623 0.464968945510217 NA
"228" "1" 452 227 198 3.2198947024537 0.616455849408707 2.72979003099368 0.449494675257309 NA
"227" "1" 486 221 233 3.22819999588574 0.614228039509395 2.66085623846315 0.507195400032859 NA
"226" "1" 437 222 186 3.18746007704532 0.627237795537157 2.63731558669474 0.4743396121252 NA
"225" "1" 409 203 179 3.2686992983959 0.647188440398258 2.65177697277435 0.460869299647634 NA
"224" "1" 548 290 215 3.17632709566898 0.641664161085696 2.66430765072042 0.506774716924241 NA
"223" "1" 526 265 229 3.17005959191771 0.658454367307411 2.65233864373734 0.511597089031091 NA
"222" "1" 440 232 187 3.28641348563994 0.593324904126672 2.71325278220263 0.501398436202507 NA
"221" "1" 459 227 202 3.16838134428499 0.606695607689358 2.64337335008421 0.485847190445411 NA
"220" "1" 422 210 181 3.27242706505081 0.647889240402091 2.66716420833936 0.476779583242673 NA
"219" "1" 398 195 184 3.24080437998427 0.676073001238798 2.67261024121941 0.491980758464629 NA
"218" "1" 381 203 163 3.3003573282737 0.553896453529124 2.69565483761618 0.494755603230652 NA
"217" "1" 398 209 173 3.20470085460265 0.617204374314374 2.74718514106682 0.449436153791985 NA
"216" "1" 200 106 86 3.29062406568115 0.580012609540696 2.62709443712577 0.471637778779021 NA
"215" "1" 318 171 140 3.20667408582958 0.582554406124623 2.66843643376607 0.433587609433064 NA
"214" "1" 444 220 187 3.29259422581581 0.625140454006922 2.67174865970153 0.446725286976519 NA
"213" "1" 405 205 179 3.32433106591084 0.594003447200945 2.71432834845433 0.480424807948274 NA
"212" "1" 369 182 164 3.24843752149406 0.610908997987419 2.67543518909641 0.483110525080648 NA
"211" "1" 414 210 177 3.27870283986393 0.602363357715955 2.69463759291022 0.462329741794874 NA
"210" "1" 421 218 173 3.23203480624936 0.625324969670287 2.74747913062316 0.500898351795216 NA
"209" "1" 399 200 175 3.25975547858282 0.552661775795466 2.61725287080432 0.473446271480769 NA
"208" "1" 493 246 199 3.21724526956372 0.585825723510926 2.67152367749642 0.451171487661646 NA
"207" "1" 401 194 178 3.28230078595355 0.636686509248658 2.66390733527058 0.506496652622461 NA
"206" "1" 338 176 140 3.34598098810001 0.616264397354688 2.72995210884207 0.509055757689731 NA
"205" "1" 366 184 159 3.31512416169331 0.576284952349121 2.82023331864867 0.494014469434332 NA
"204" "1" 251 158 81 3.34887910225863 0.544529718648176 2.68788023756928 0.476630130053495 NA
"203" "1" 279 145 122 3.28535213590522 0.667817312924568 2.77587850902213 0.483504927474919 NA
"202" "1" 353 180 155 3.34331432065233 0.61015842937641 2.70626234343871 0.475430027572372 NA
"201" "1" 372 217 142 3.20253594786822 0.632147445786851 2.70834582645619 0.45277042937543 NA
"200" "1" 415 222 160 3.24928543249552 0.605384227995197 2.68141428962227 0.504483056469197 NA
"199" "2017-11-04" NA NA NA NA NA NA NA NA
"198" "2017-10-28" NA NA NA NA NA NA NA NA
"197" "2017-10-21" NA NA NA NA NA NA NA NA
"196" "2017-10-14" NA NA NA NA NA NA NA NA
"195" "2017-10-07" NA NA NA NA NA NA NA NA
"194" "2017-09-30" NA NA NA NA NA NA NA NA
"193" "2017-09-23" NA NA NA NA NA NA NA NA
"192" "2017-09-16" NA NA NA NA NA NA NA NA
"191" "2017-09-09" NA NA NA NA NA NA NA NA
"190" "2017-09-02" NA NA NA NA NA NA NA NA
"189" "2017-08-26" NA NA NA NA NA NA NA NA
"188" "2017-08-19" NA NA NA NA NA NA NA NA
"187" "2017-08-12" NA NA NA NA NA NA NA NA
"186" "2017-08-05" NA NA NA NA NA NA NA NA
"185" "2017-07-29" NA NA NA NA NA NA NA NA
"184" "2017-07-22" NA NA NA NA NA NA NA NA
"183" "2017-07-15" NA NA NA NA NA NA NA NA
"182" "2017-07-01" NA NA NA NA NA NA NA NA
"181" "2017-06-24" NA NA NA NA NA NA NA NA
"180" "2017-06-17" NA NA NA NA NA NA NA NA
"179" "2017-06-10" NA NA NA NA NA NA NA NA
"178" "2017-06-03" NA NA NA NA NA NA NA NA
"177" "2017-05-27" NA NA NA NA NA NA NA NA
"176" "2017-05-20" NA NA NA NA NA NA NA NA
"175" "2017-05-13" NA NA NA NA NA NA NA NA
"174" "2017-05-06" NA NA NA NA NA NA NA NA
"173" "2017-04-29" NA NA NA NA NA NA NA NA
"172" "2017-04-22" NA NA NA NA NA NA NA NA
"171" "2017-04-15" NA NA NA NA NA NA NA NA
"170" "2017-04-08" NA NA NA NA NA NA NA NA
"169" "2017-04-01" NA NA NA NA NA NA NA NA
"168" "2017-03-25" NA NA NA NA NA NA NA NA
"167" "2017-03-18" NA NA NA NA NA NA NA NA
"166" "2017-03-11" NA NA NA NA NA NA NA NA
"165" "2017-03-04" NA NA NA NA NA NA NA NA
"164" "2017-02-25" NA NA NA NA NA NA NA NA
"163" "2017-02-18" NA NA NA NA NA NA NA NA
"162" "2017-02-11" NA NA NA NA NA NA NA NA
"161" "2017-02-04" NA NA NA NA NA NA NA NA
"160" "2017-01-28" NA NA NA NA NA NA NA NA
"159" "2017-01-21" NA NA NA NA NA NA NA NA
"158" "2017-01-14" NA NA NA NA NA NA NA NA
"157" "2017-01-07" NA NA NA NA NA NA NA NA
"156" "2016-12-31" NA NA NA NA NA NA NA NA
"155" "2016-12-24" NA NA NA NA NA NA NA NA
"154" "2016-12-17" NA NA NA NA NA NA NA NA
"153" "2016-12-10" NA NA NA NA NA NA NA NA
"152" "2016-12-03" NA NA NA NA NA NA NA NA
"151" "2016-11-26" NA NA NA NA NA NA NA NA
"150" "2016-11-19" NA NA NA NA NA NA NA NA
"149" "2016-11-12" NA NA NA NA NA NA NA NA
"148" "2016-11-05" NA NA NA NA NA NA NA NA
"147" "2016-10-29" NA NA NA NA NA NA NA NA
"146" "2016-10-22" NA NA NA NA NA NA NA NA
"145" "2016-10-15" NA NA NA NA NA NA NA NA
"144" "2016-10-08" NA NA NA NA NA NA NA NA
"143" "2016-10-01" NA NA NA NA NA NA NA NA
"142" "2016-09-24" NA NA NA NA NA NA NA NA
"141" "2016-09-17" NA NA NA NA NA NA NA NA
"140" "2016-09-10" NA NA NA NA NA NA NA NA
"139" "2016-09-03" NA NA NA NA NA NA NA NA
"138" "2016-08-27" NA NA NA NA NA NA NA NA
"137" "2016-08-20" NA NA NA NA NA NA NA NA
"136" "2016-08-13" NA NA NA NA NA NA NA NA
"135" "2016-08-06" NA NA NA NA NA NA NA NA
"134" "2016-07-30" NA NA NA NA NA NA NA NA
"133" "2016-07-23" NA NA NA NA NA NA NA NA
"132" "2016-07-16" NA NA NA NA NA NA NA NA
"131" "2016-07-02" NA NA NA NA NA NA NA NA
