"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "peterpan" "168" 1 "440966" "17:39" 1059 "VM35-39" 74.69 "M" 1 "New PB!" 231
"2" "peterpan" "168" 2 "70810" "18:01" 1081 "VM50-54" 81.87 "M" 2 "PB stays at 00:17:55" 75
"3" "peterpan" "168" 3 "738742" "18:05" 1085 "SM18-19" 72.9 "M" 3 "PB stays at 00:16:39" 37
"4" "peterpan" "168" 4 "197413" "18:23" 1103 "VM40-44" 75.97 "M" 4 "New PB!" 204
"5" "peterpan" "168" 5 "542730" "18:41" 1121 "SW20-24" 79.21 "F" 1 "PB stays at 00:18:24" 139
"6" "peterpan" "168" 6 "308246" "19:17" 1157 "SM20-24" 66.9 "M" 5 "PB stays at 00:17:40" 141
"7" "peterpan" "168" 7 "1798862" "19:51" 1191 "VM40-44" 69.27 "M" 6 "PB stays at 00:18:13" 111
"8" "peterpan" "168" 8 "1239264" "19:56" 1196 "JM11-14" 74.58 "M" 7 "PB stays at 00:18:36" 104
"9" "peterpan" "168" 9 "457831" "20:27" 1227 "VM45-49" 69.36 "M" 8 "PB stays at 00:19:26" 177
"10" "peterpan" "168" 10 "180033" "20:33" 1233 "VM35-39" 64.56 "M" 9 "PB stays at 00:19:37" 228
"11" "peterpan" "168" 11 "598425" "20:35" 1235 "VM45-49" 68.91 "M" 10 "First Timer!" 19
"12" "peterpan" "168" 12 "209783" "20:56" 1256 "VW50-54" 82.09 "F" 2 "PB stays at 00:20:48" 302
"13" "peterpan" "168" 13 "87648" "21:01" 1261 "VM50-54" 70.74 "M" 11 "PB stays at 00:17:43" 123
"14" "peterpan" "168" 14 "1521609" "21:24" 1284 "VM35-39" 61.6 "M" 12 "PB stays at 00:20:04" 53
"15" "peterpan" "168" 15 "371566" "21:29" 1289 "SM30-34" 60.74 "M" 13 "First Timer!" 5
"16" "peterpan" "168" 16 "74232" "21:41" 1301 "SW30-34" 68.33 "F" 3 "PB stays at 00:20:58" 47
"17" "peterpan" "168" 17 "2338635" "21:59" 1319 "JM11-14" 64.52 "M" 14 "PB stays at 00:20:49" 10
"18" "peterpan" "168" 18 "498952" "22:04" 1324 "VM45-49" 66.31 "M" 15 "PB stays at 00:20:43" 220
"19" "peterpan" "168" 19 "481451" "22:06" 1326 "VM45-49" 64.18 "M" 16 "PB stays at 00:20:41" 153
"20" "peterpan" "168" 20 "804838" "22:11" 1331 "VM40-44" 63.41 "M" 17 "First Timer!" 150
"21" "peterpan" "168" 21 "2175378" "22:14" 1334 "VM50-54" 67.39 "M" 18 "New PB!" 134
"22" "peterpan" "168" 22 "70573" "22:27" 1347 "VM45-49" 64.14 "M" 19 "First Timer!" 340
"23" "peterpan" "168" 23 "2175583" "22:45" 1365 "JM11-14" 62.34 "M" 20 "PB stays at 00:21:37" 130
"24" "peterpan" "168" 24 "2339545" "22:46" 1366 "VW40-44" 67.57 "F" 4 "PB stays at 00:22:39" 12
"25" "peterpan" "168" 25 "592789" "22:49" 1369 "VM40-44" 59.82 "M" 21 "PB stays at 00:20:29" 141
"26" "peterpan" "168" 26 "1091374" "22:59" 1379 "VM55-59" 69.18 "M" 22 "PB stays at 00:21:47" 156
"27" "peterpan" "168" 27 "496727" "23:11" 1391 "SM30-34" 56.29 "M" 23 "PB stays at 00:21:01" 101
"28" "peterpan" "168" 28 "2557190" "23:22" 1402 "SM30-34" 55.35 "M" 24 "First Timer!" 22
"29" "peterpan" "168" 29 "180270" "23:23" 1403 "JM11-14" 63.58 "M" 25 "PB stays at 00:23:15" 11
"30" "peterpan" "168" 30 "2209251" "23:34" 1414 "VW35-39" 64.21 "F" 5 "First Timer!" 33
"31" "peterpan" "168" 31 "1387933" "24:01" 1441 "JM10" 68.08 "M" 26 "New PB!" 3
"32" "peterpan" "168" 32 "2175533" "24:05" 1445 "SM18-19" 54.74 "M" 27 "PB stays at 00:22:00" 37
"33" "peterpan" "168" 33 "494750" "24:11" 1451 "VM55-59" 65.2 "M" 28 "PB stays at 00:22:11" 251
"34" "peterpan" "168" 34 "575607" "24:13" 1453 "JM10" 73.5 "M" 29 "New PB!" 17
"35" "peterpan" "168" 35 "90746" "24:13" 1453 "VM40-44" 56.37 "M" 30 "PB stays at 00:16:23" 51
"36" "peterpan" "168" 36 "107447" "24:27" 1467 "VM50-54" 61.83 "M" 31 "PB stays at 00:22:54" 237
"37" "peterpan" "168" 37 "159225" "24:29" 1469 "VM45-49" 59.77 "M" 32 "PB stays at 00:22:04" 194
"38" "peterpan" "168" 38 "575597" "24:37" 1477 "JM10" 66.42 "M" 33 "New PB!" 41
"39" "peterpan" "168" 39 "721944" "24:37" 1477 "JM11-14" 60.39 "M" 34 "PB stays at 00:21:38" 132
"40" "peterpan" "168" 40 "2553388" "24:40" 1480 "VM35-39" 54.12 "M" 35 "First Timer!" 2
"41" "peterpan" "168" 41 "1799851" "24:44" 1484 "VM50-54" 61.59 "M" 36 "PB stays at 00:23:59" 107
"42" "peterpan" "168" 42 NA NA NA NA NA NA NA NA NA
"43" "peterpan" "168" 43 NA NA NA NA NA NA NA NA NA
"44" "peterpan" "168" 44 "2073242" "24:50" 1490 "VM55-59" 61.88 "M" 39 "PB stays at 00:23:41" 127
"45" "peterpan" "168" 45 "2052439" "24:54" 1494 "VW40-44" 62.25 "F" 6 "PB stays at 00:23:18" 138
"46" "peterpan" "168" 46 "153481" "25:21" 1521 "VW40-44" 60.68 "F" 7 "New PB!" 126
"47" "peterpan" "168" 47 "301239" "25:22" 1522 "VW45-49" 63.21 "F" 8 "PB stays at 00:23:42" 170
"48" "peterpan" "168" 48 "1045472" "25:29" 1529 "VM50-54" 58.8 "M" 40 "PB stays at 00:23:50" 28
