"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "risingsun" "142" 1 "2223501" "17:27" 1047 "SM30-34" 74.12 "M" 1 "PB stays at 00:16:36" 54
"2" "risingsun" "142" 2 "1218002" "19:03" 1143 "VM35-39" 69.64 "M" 2 "PB stays at 00:18:23" 211
"3" "risingsun" "142" 3 "666321" "19:23" 1163 "JM15-17" 69.65 "M" 3 "PB stays at 00:18:53" 120
"4" "risingsun" "142" 4 "346905" "19:26" 1166 "JM15-17" 69.47 "M" 4 "PB stays at 00:18:47" 151
"5" "risingsun" "142" 5 "2486964" "19:33" 1173 "SM25-29" 66.07 "M" 5 "First Timer!" 64
"6" "risingsun" "142" 6 "5533744" "19:37" 1177 "SM20-24" 65.76 "M" 6 "First Timer!" 2
"7" "risingsun" "142" 7 "120635" "19:56" 1196 "SM30-34" 64.88 "M" 7 "PB stays at 00:18:46" 157
"8" "risingsun" "142" 8 "1073052" "20:14" 1214 "VM35-39" 66.47 "M" 8 "PB stays at 00:19:49" 69
"9" "risingsun" "142" 9 "1376500" "20:24" 1224 "VM40-44" 67.89 "M" 9 "PB stays at 00:19:52" 59
"10" "risingsun" "142" 10 "847915" "20:41" 1241 "SM20-24" 62.61 "M" 10 "PB stays at 00:20:13" 58
"11" "risingsun" "142" 11 "2943297" "20:43" 1243 "SM25-29" 62.35 "M" 11 "PB stays at 00:20:23" 54
"12" "risingsun" "142" 12 "1958363" "20:46" 1246 "VM45-49" 69.34 "M" 12 "PB stays at 00:20:18" 86
"13" "risingsun" "142" 13 "411239" "20:53" 1253 "VM50-54" 72.39 "M" 13 "PB stays at 00:19:29" 44
"14" "risingsun" "142" 14 "236506" "20:55" 1255 "VM35-39" 63.43 "M" 14 "PB stays at 00:20:04" 36
"15" "risingsun" "142" 15 "81435" "21:05" 1265 "SM30-34" 61.9 "M" 15 "PB stays at 00:19:40" 36
"16" "risingsun" "142" 16 "1853179" "21:12" 1272 "SM30-34" 61.56 "M" 16 "PB stays at 00:20:01" 91
"17" "risingsun" "142" 17 "3973334" "21:23" 1283 "VM35-39" 63.37 "M" 17 "PB stays at 00:20:23" 17
"18" "risingsun" "142" 18 "2292706" "21:27" 1287 "VM50-54" 69.85 "M" 18 "PB stays at 00:20:42" 60
"19" "risingsun" "142" 19 "2696198" "21:28" 1288 "VM50-54" 69.25 "M" 19 "New PB!" 42
"20" "risingsun" "142" 20 "605902" "21:31" 1291 "VM40-44" 65.38 "M" 20 "PB stays at 00:21:02" 107
"21" "risingsun" "142" 21 "1109855" "21:33" 1293 "VW35-39" 69.37 "F" 1 "PB stays at 00:21:06" 97
"22" "risingsun" "142" 22 "839403" "21:35" 1295 "VM40-44" 63.24 "M" 21 "PB stays at 00:17:27" 43
"23" "risingsun" "142" 23 "905218" "21:36" 1296 "VM40-44" 64.12 "M" 22 "First Timer!" 27
"24" "risingsun" "142" 24 "2080136" "21:50" 1310 "VM35-39" 61.15 "M" 23 "PB stays at 00:21:35" 65
"25" "risingsun" "142" 25 "2186322" "21:55" 1315 "SM30-34" 59.16 "M" 24 "PB stays at 00:20:56" 34
"26" "risingsun" "142" 26 "1277873" "22:01" 1321 "VM45-49" 65.4 "M" 25 "PB stays at 00:20:41" 96
"27" "risingsun" "142" 27 "3854825" "22:04" 1324 "SM20-24" 58.46 "M" 26 "New PB!" 17
"28" "risingsun" "142" 28 "4498044" "22:23" 1343 "SM25-29" 57.63 "M" 27 "PB stays at 00:21:39" 12
"29" "risingsun" "142" 29 "4079768" "22:30" 1350 "SM30-34" 58 "M" 28 "PB stays at 00:20:49" 21
"30" "risingsun" "142" 30 "1222391" "22:31" 1351 "SM25-29" 57.36 "M" 29 "New PB!" 35
"31" "risingsun" "142" 31 "3462744" "22:35" 1355 "SM30-34" 58.08 "M" 30 "New PB!" 6
"32" "risingsun" "142" 32 NA NA NA NA NA NA NA NA NA
"33" "risingsun" "142" 33 "4602681" "22:40" 1360 "SW20-24" 65.29 "F" 2 "New PB!" 9
"34" "risingsun" "142" 34 "1141849" "22:47" 1367 "SM30-34" 57.57 "M" 32 "PB stays at 00:22:02" 57
"35" "risingsun" "142" 35 "1249122" "22:48" 1368 "VM45-49" 62.65 "M" 33 "PB stays at 00:21:01" 123
"36" "risingsun" "142" 36 "187985" "22:53" 1373 "VM35-39" 59.21 "M" 34 "PB stays at 00:21:03" 93
"37" "risingsun" "142" 37 "299235" "22:57" 1377 "VM35-39" 59.04 "M" 35 "PB stays at 00:22:28" 31
"38" "risingsun" "142" 38 "4992642" "23:04" 1384 "JM15-17" 60.33 "M" 36 "PB stays at 00:22:01" 13
"39" "risingsun" "142" 39 "1472122" "23:11" 1391 "SW20-24" 63.84 "F" 3 "PB stays at 00:22:46" 78
"40" "risingsun" "142" 40 "801664" "23:17" 1397 "VM40-44" 60.42 "M" 37 "PB stays at 00:20:25" 46
"41" "risingsun" "142" 41 "790592" "23:20" 1400 "VM40-44" 58.93 "M" 38 "PB stays at 00:21:12" 31
"42" "risingsun" "142" 42 "2700989" "23:29" 1409 "JW15-17" 65.15 "F" 4 "PB stays at 00:23:00" 70
"43" "risingsun" "142" 43 "1659607" "23:31" 1411 "SW30-34" 63.22 "F" 5 "PB stays at 00:21:46" 36
"44" "risingsun" "142" 44 "5536878" "23:36" 1416 "SM30-34" 55.08 "M" 39 "New PB!" 2
"45" "risingsun" "142" 45 "626581" "23:37" 1417 "VM40-44" 59.56 "M" 40 "PB stays at 00:19:29" 31
"46" "risingsun" "142" 46 "4892857" "23:37" 1417 "SM30-34" 54.9 "M" 41 "First Timer!" 5
"47" "risingsun" "142" 47 "4949433" "23:47" 1427 "SM30-34" 54.38 "M" 42 "New PB!" 7
"48" "risingsun" "142" 48 "323566" "23:53" 1433 "VM45-49" 59.8 "M" 43 "PB stays at 00:21:54" 121
"49" "risingsun" "142" 49 "2292696" "23:57" 1437 "VW45-49" 66.32 "F" 6 "PB stays at 00:22:17" 75
"50" "risingsun" "142" 50 "54482" "24:03" 1443 "SW30-34" 61.68 "F" 7 "PB stays at 00:19:52" 110
"51" "risingsun" "142" 51 "3204333" "24:06" 1446 "VM50-54" 62.72 "M" 44 "PB stays at 00:22:34" 28
"52" "risingsun" "142" 52 "5538132" "24:13" 1453 "SW20-24" 61.11 "F" 8 "First Timer!" 2
"53" "risingsun" "142" 53 "139124" "24:15" 1455 "VM35-39" 55.05 "M" 45 "PB stays at 00:21:33" 243
"54" "risingsun" "142" 54 NA NA NA NA NA NA NA NA NA
"55" "risingsun" "142" 55 "1134811" "24:28" 1468 "VW40-44" 62.87 "F" 9 "PB stays at 00:23:30" 89
"56" "risingsun" "142" 56 "320988" "24:29" 1469 "VM55-59" 62.76 "M" 47 "PB stays at 00:21:44" 237
"57" "risingsun" "142" 57 "792952" "24:36" 1476 "VM55-59" 62.47 "M" 48 "PB stays at 00:23:16" 147
"58" "risingsun" "142" 58 "1544183" "24:44" 1484 "SW25-29" 59.84 "F" 10 "First Timer!" 13
"59" "risingsun" "142" 59 NA NA NA NA NA NA NA NA NA
"60" "risingsun" "142" 60 "1826500" "24:50" 1490 "VM35-39" 54.56 "M" 50 "First Timer!" 10
"61" "risingsun" "142" 61 "93514" "24:54" 1494 "VM35-39" 53.61 "M" 51 "PB stays at 00:19:55" 215
"62" "risingsun" "142" 62 "3253348" "24:55" 1495 "VM50-54" 60.13 "M" 52 "PB stays at 00:24:38" 69
"63" "risingsun" "142" 63 "872130" "24:57" 1497 "SW20-24" 59.32 "F" 11 "First Timer!" 16
"64" "risingsun" "142" 64 "686819" "25:01" 1501 "VM50-54" 58.96 "M" 53 "PB stays at 00:24:01" 86
"65" "risingsun" "142" 65 "142566" "25:02" 1502 "VW45-49" 63.45 "F" 12 "PB stays at 00:23:53" 114
"66" "risingsun" "142" 66 "2739057" "25:06" 1506 "VM50-54" 60.69 "M" 54 "PB stays at 00:23:32" 56
"67" "risingsun" "142" 67 "5557619" "25:08" 1508 "SM30-34" 51.72 "M" 55 "First Timer!" 1
"68" "risingsun" "142" 68 "4710932" "25:21" 1521 "SM30-34" 51.28 "M" 56 "New PB!" 8
"69" "risingsun" "142" 69 "561014" "25:26" 1526 "VM45-49" 57.54 "M" 57 "PB stays at 00:21:25" 205
"70" "risingsun" "142" 70 "5527963" "25:28" 1528 "SM30-34" 51.05 "M" 58 "New PB!" 2
"71" "risingsun" "142" 71 "211348" "25:32" 1532 "VW40-44" 60.7 "F" 13 "PB stays at 00:24:09" 133
"72" "risingsun" "142" 72 "2473505" "25:34" 1534 "VM60-64" 64.41 "M" 59 "PB stays at 00:22:37" 74
"73" "risingsun" "142" 73 "3414427" "25:35" 1535 "SM30-34" 50.68 "M" 60 "PB stays at 00:23:57" 41
