"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"142" "2019-03-16" 204 109 90 3.28686171643765 0.601275240892519 2.71141989554782 0.547730688126904 NA
"141" "2019-03-09" 378 177 174 3.18445927876258 0.580022374004251 2.67781274991599 0.424027854028402 NA
"140" "2019-03-02" 381 160 186 3.1452271401645 0.572920222321301 2.60977198796009 0.47063901348883 NA
"139" "2019-02-23" 449 182 241 3.17963406343551 0.657128421778995 2.65134208068568 0.461327293892976 NA
"138" "2019-02-16" 446 208 202 3.26976445869951 0.605330511037112 2.68243233966151 0.471047992011354 NA
"137" "2019-02-09" 418 174 219 3.07111767188549 0.584626438070728 2.58382846014457 0.421732617837512 NA
"136" "2019-01-26" 446 203 212 3.11326133918143 0.609565862108948 2.64142676683807 0.461638312259515 NA
"135" "2019-01-12" 545 242 271 3.07273343232755 0.647303966181755 2.63671766713701 0.442322423848155 NA
"134" "2019-01-05" 466 214 233 3.12696764351683 0.580007507850493 2.60635587938451 0.464026725688792 NA
"133" "2019-01-01" 869 397 367 3.22179203305102 0.605861847755647 2.69498021031744 0.383990847072733 NA
"132" "2018-12-29" 282 147 121 3.23273099249077 0.595568081938037 2.66584745722822 0.457316647651289 NA
"131" "2018-12-22" 305 146 132 3.28389836142476 0.605109189342993 2.59182747929179 0.533658718684815 NA
"130" "2018-12-15" 226 115 101 3.34940708384587 0.656836638617439 2.70636689217206 0.539508056886855 NA
"129" "2018-12-08" 211 111 83 3.26751743963867 0.534224787976544 2.80415832355866 0.456724331083912 NA
"128" "2018-12-01" 256 120 118 3.19233144182832 0.595800398635035 2.71249257037506 0.406751279279708 NA
"127" "2018-11-24" 325 144 167 3.24095203703229 0.62011405468921 2.65503277483728 0.492122115777017 NA
"126" "2018-11-17" 301 153 127 3.17516646307955 0.614273538361998 2.76414070468051 0.459856785255669 NA
"125" "2018-11-10" 397 181 181 3.22553477516815 0.635315380699384 2.65498608523463 0.495207111640579 NA
"124" "2018-11-03" 375 180 178 3.19987747395297 0.639766020171784 2.69094148031897 0.50763176953229 NA
"123" "2018-10-27" 198 97 90 3.22629202330065 0.623620812851631 2.70589328921584 0.444231053540001 NA
"122" "2018-10-20" 350 170 159 3.14571510344143 0.605593428946266 2.70292422644906 0.476771111089136 NA
"121" "2018-10-13" 232 114 110 3.14702836964277 0.641498912689901 2.65819196169042 0.484111005392491 NA
"120" "2018-10-06" 323 150 157 3.12716197645536 0.592180088637072 2.69337230829559 0.472500087823321 NA
"119" "2018-09-29" 382 161 163 3.13045349155361 0.592055037037141 2.62489639468594 0.520716202298951 NA
"118" "2018-09-22" 342 169 144 3.21731785947282 0.646353065036386 2.66449575200233 0.480295552249591 NA
"117" "2018-09-15" 371 174 170 3.11126160748104 0.635390764951264 2.6609659437034 0.513765518389167 NA
"116" "2018-09-08" 299 150 134 3.13935781592945 0.627873826983322 2.58372817136158 0.472124573478792 NA
"115" "2018-09-01" 301 142 139 3.18929384661281 0.642903373563253 2.66550062072103 0.541127548189216 NA
"114" "2018-08-25" 460 231 206 3.20294637254793 0.62654231724445 2.64543069931038 0.515520397965332 NA
"113" "2018-08-18" 342 161 165 3.30668043753865 0.639403813271569 2.58601827281929 0.482888069016084 NA
"112" "2018-08-11" 250 115 123 3.24097305577439 0.66518590879317 2.62473144651553 0.435206285687815 NA
"111" "2018-08-04" 263 133 118 3.19295948481938 0.582877264212576 2.70736959902768 0.491595192107006 NA
"110" "2018-07-28" 271 120 138 3.18479269251187 0.62236692063676 2.66757119841584 0.461840315309682 NA
"109" "2018-07-21" 297 138 136 3.2821436706586 0.663413703792188 2.66649328885227 0.48910343599574 NA
"108" "2018-07-14" 377 189 171 3.19070049197305 0.586612947381197 2.64212455043607 0.458495247614848 NA
"107" "2018-07-07" 351 161 162 3.14442727808396 0.646309348963331 2.56733303485085 0.50532278097196 NA
