"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "riverside" 312 1 NA NA NA NA NA NA NA NA NA
"2" "riverside" 312 2 NA NA NA NA NA NA NA NA NA
"3" "riverside" 312 3 54197 "16:57" 1017 "VM40-44" 80.53 "M" 3 "PB stays at 00:16:23" 133
"4" "riverside" 312 4 344412 "17:22" 1042 "VM50-54" 84.93 "M" 4 "PB stays at 00:17:12" 65
"5" "riverside" 312 5 3901596 "17:28" 1048 "SM25-29" 73.85 "M" 5 "New PB!" 45
"6" "riverside" 312 6 455292 "17:41" 1061 "VM45-49" 80.77 "M" 6 "PB stays at 00:17:24" 183
"7" "riverside" 312 7 123114 "18:03" 1083 "SM25-29" 71.47 "M" 7 "PB stays at 00:16:50" 144
"8" "riverside" 312 8 2897588 "18:05" 1085 "SM20-24" 71.34 "M" 8 "First Timer!" 62
"9" "riverside" 312 9 219604 "18:09" 1089 "VM55-59" 84.66 "M" 9 "New PB!" 268
"10" "riverside" 312 10 1356156 "18:20" 1100 "VM40-44" 76.18 "M" 10 "PB stays at 00:17:48" 130
"11" "riverside" 312 11 75213 "18:24" 1104 "SM30-34" 70.65 "M" 11 "New PB!" 65
"12" "riverside" 312 12 87482 "18:29" 1109 "VM35-39" 73.31 "M" 12 "PB stays at 00:17:39" 86
"13" "riverside" 312 13 64194 "18:29" 1109 "VM45-49" 79.17 "M" 13 "PB stays at 00:18:07" 62
"14" "riverside" 312 14 56421 "18:34" 1114 "VM45-49" 76.93 "M" 14 "PB stays at 00:17:44" 155
"15" "riverside" 312 15 395147 "18:37" 1117 "VM45-49" 76.72 "M" 15 "PB stays at 00:18:24" 84
"16" "riverside" 312 16 94703 "18:39" 1119 "VM55-59" 83.11 "M" 16 "PB stays at 00:18:20" 82
"17" "riverside" 312 17 804193 "18:48" 1128 "VM40-44" 72.61 "M" 17 "New PB!" 198
"18" "riverside" 312 18 1560623 "18:57" 1137 "SM30-34" 68.6 "M" 18 "New PB!" 35
"19" "riverside" 312 19 1755625 "19:03" 1143 "SM20-24" 68.42 "M" 19 "New PB!" 9
"20" "riverside" 312 20 366068 "19:05" 1145 "VM35-39" 71 "M" 20 "PB stays at 00:18:29" 243
"21" "riverside" 312 21 622615 "19:12" 1152 "VM40-44" 71.09 "M" 21 "New PB!" 16
"22" "riverside" 312 22 1954571 "19:26" 1166 "VM45-49" 74.7 "M" 22 "PB stays at 00:19:18" 84
"23" "riverside" 312 23 342114 "19:29" 1169 "SM30-34" 66.55 "M" 23 "PB stays at 00:19:28" 44
"24" "riverside" 312 24 400292 "19:40" 1180 "SW20-24" 75.25 "F" 1 "New PB!" 140
"25" "riverside" 312 25 658808 "19:45" 1185 "VM45-49" 72.91 "M" 24 "PB stays at 00:18:22" 50
"26" "riverside" 312 26 1756714 "19:46" 1186 "VM35-39" 68.55 "M" 25 "PB stays at 00:18:52" 101
"27" "riverside" 312 27 1618988 "19:47" 1187 "SM25-29" 65.21 "M" 26 "New PB!" 9
"28" "riverside" 312 28 111432 "19:50" 1190 "VM45-49" 73.19 "M" 27 "PB stays at 00:18:20" 80
"29" "riverside" 312 29 598006 "19:52" 1192 "VM55-59" 78.02 "M" 28 "PB stays at 00:18:37" 69
"30" "riverside" 312 30 2831880 "19:53" 1193 "VM35-39" 68.15 "M" 29 "PB stays at 00:19:16" 49
"31" "riverside" 312 31 3378942 "19:55" 1195 "SM20-24" 64.77 "M" 30 "First Timer!" 10
"32" "riverside" 312 32 1547591 "19:56" 1196 "VM55-59" 79.1 "M" 31 "PB stays at 00:19:06" 28
"33" "riverside" 312 33 1371330 "19:58" 1198 "VM45-49" 71.54 "M" 32 "PB stays at 00:19:18" 78
"34" "riverside" 312 34 755297 "20:24" 1224 "VM35-39" 65.03 "M" 33 "PB stays at 00:19:44" 97
"35" "riverside" 312 35 94538 "20:26" 1226 "VM55-59" 77.81 "M" 34 "PB stays at 00:19:37" 123
"36" "riverside" 312 36 1430843 "20:33" 1233 "VM40-44" 66.91 "M" 35 "PB stays at 00:19:19" 171
"37" "riverside" 312 37 1380515 "20:35" 1235 "SM30-34" 63.72 "M" 36 "New PB!" 19
"38" "riverside" 312 38 4541577 "20:36" 1236 "SM30-34" 62.78 "M" 37 "PB stays at 00:19:05" 7
"39" "riverside" 312 39 4674051 "20:39" 1239 "SM25-29" 62.47 "M" 38 "New PB!" 2
"40" "riverside" 312 40 587681 "20:40" 1240 "SM30-34" 63.47 "M" 39 "PB stays at 00:18:43" 72
"41" "riverside" 312 41 1840163 "20:41" 1241 "SM25-29" 62.37 "M" 40 "PB stays at 00:19:13" 70
"42" "riverside" 312 42 110191 "20:42" 1242 "VM50-54" 73.59 "M" 41 "PB stays at 00:19:18" 327
"43" "riverside" 312 43 1954870 "20:56" 1256 "VM45-49" 69.35 "M" 42 "PB stays at 00:19:34" 103
"44" "riverside" 312 44 1154294 "20:57" 1257 "VM50-54" 71.52 "M" 43 "PB stays at 00:19:31" 11
"45" "riverside" 312 45 4885299 "20:58" 1258 "SM30-34" 62.24 "M" 44 "First Timer!" 2
"46" "riverside" 312 46 335368 "21:02" 1262 "VM40-44" 65.37 "M" 45 "PB stays at 00:19:52" 193
"47" "riverside" 312 47 2761963 "21:03" 1263 "VM40-44" 66.35 "M" 46 "PB stays at 00:20:22" 59
"48" "riverside" 312 48 1632244 "21:09" 1269 "JM11-14" 70.29 "M" 47 "New PB!" 26
"49" "riverside" 312 49 3715092 "21:09" 1269 "VM50-54" 70.84 "M" 48 "First Timer!" 8
"50" "riverside" 312 50 290646 "21:14" 1274 "VM50-54" 71.74 "M" 49 "PB stays at 00:20:43" 244
