"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "sedgefield" "152" 1 "249752" "19:20" 1160 "VM40-44" 72.24 "M" 1 "PB stays at 00:18:03" 229
"2" "sedgefield" "152" 2 "19249" "20:02" 1202 "VM45-49" 71.88 "M" 2 "PB stays at 00:18:35" 368
"3" "sedgefield" "152" 3 "158316" "20:12" 1212 "VM50-54" 73.6 "M" 3 "First Timer!" 257
"4" "sedgefield" "152" 4 "121925" "20:22" 1222 "VM40-44" 69.07 "M" 4 "PB stays at 00:19:02" 50
"5" "sedgefield" "152" 5 "301335" "21:09" 1269 "SM25-29" 61.07 "M" 5 "PB stays at 00:18:47" 165
"6" "sedgefield" "152" 6 "198597" "21:11" 1271 "VM45-49" 67.98 "M" 6 "PB stays at 00:19:22" 253
"7" "sedgefield" "152" 7 "49429" "21:20" 1280 "VM50-54" 69.69 "M" 7 "PB stays at 00:18:48" 174
"8" "sedgefield" "152" 8 "726329" "21:37" 1297 "SM20-24" 59.68 "M" 8 "PB stays at 00:17:57" 211
"9" "sedgefield" "152" 9 "33476" "21:39" 1299 "VM40-44" 64.97 "M" 9 "PB stays at 00:19:56" 221
"10" "sedgefield" "152" 10 "1299144" "21:43" 1303 "VM45-49" 67.38 "M" 10 "New PB!" 58
"11" "sedgefield" "152" 11 "354515" "22:04" 1324 "SM30-34" 59.14 "M" 11 "PB stays at 00:20:01" 235
"12" "sedgefield" "152" 12 "783966" "22:16" 1336 "SM25-29" 57.93 "M" 12 "PB stays at 00:19:57" 105
"13" "sedgefield" "152" 13 "351538" "22:23" 1343 "VM60-64" 73.57 "M" 13 "PB stays at 00:22:02" 132
"14" "sedgefield" "152" 14 "226499" "22:24" 1344 "SM25-29" 57.59 "M" 14 "PB stays at 00:20:22" 122
"15" "sedgefield" "152" 15 "1078464" "22:26" 1346 "SM30-34" 57.95 "M" 15 "PB stays at 00:20:43" 119
"16" "sedgefield" "152" 16 "538390" "22:30" 1350 "JM15-17" 60.89 "M" 16 "PB stays at 00:19:49" 87
"17" "sedgefield" "152" 17 "696972" "22:38" 1358 "VM50-54" 67.3 "M" 17 "New PB!" 17
"18" "sedgefield" "152" 18 "517251" "22:42" 1362 "JW11-14" 73.27 "F" 1 "PB stays at 00:20:35" 35
"19" "sedgefield" "152" 19 "250339" "22:43" 1363 "VM45-49" 63.39 "M" 18 "PB stays at 00:20:39" 50
"20" "sedgefield" "152" 20 "354238" "22:46" 1366 "JW11-14" 69.03 "F" 2 "PB stays at 00:22:45" 49
"21" "sedgefield" "152" 21 "263879" "23:07" 1387 "VM50-54" 63.81 "M" 19 "PB stays at 00:21:40" 135
"22" "sedgefield" "152" 22 "309520" "23:09" 1389 "VM45-49" 62.71 "M" 20 "PB stays at 00:19:30" 132
"23" "sedgefield" "152" 23 "657994" "23:19" 1399 "VW35-39" 65.19 "F" 3 "PB stays at 00:22:58" 60
"24" "sedgefield" "152" 24 "417239" "23:26" 1406 "VM50-54" 63.44 "M" 21 "PB stays at 00:22:13" 109
