"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"360" "2019-02-16" 350 192 146 3.25451458476777 0.617854779837206 2.72983720274492 0.402638106767742 NA
"359" "2019-02-09" 222 133 82 3.10371717321427 0.555536737166154 2.53941392525437 0.416271601784655 NA
"358" "2019-01-26" 325 182 139 3.14186792296453 0.60365206208093 2.58375906761465 0.387455584891926 NA
"357" "2019-01-19" 316 167 142 3.15458390348934 0.604171685009289 2.56530142325272 0.424125445093235 NA
"356" "2019-01-12" 363 194 161 3.19995320885833 0.572829815467703 2.66244166806436 0.431626701865908 NA
"355" "2019-01-05" 318 176 138 3.16380456860596 0.57918831269144 2.6507713801156 0.461325358630508 NA
"354" "2019-01-01" 384 214 166 3.1288443897118 0.622813874431907 2.66041065011259 0.396939463142251 NA
"353" "2018-12-29" 265 163 96 3.16511553177047 0.572638186857484 2.6557782912709 0.408316642278991 NA
"352" "2018-12-25" 323 177 134 3.33407367904219 0.652759410348613 2.79584135337003 0.433039565079799 NA
"351" "2018-12-22" 224 127 91 3.2390087671235 0.598278797043128 2.76425385643949 0.41276687202476 NA
"350" "2018-12-15" 198 121 76 3.2263714122934 0.613356234908964 2.69994267502682 0.418508739081136 NA
"349" "2018-12-08" 198 116 77 3.18697312813546 0.561494485029886 2.65627849335031 0.434096824469659 NA
"348" "2018-12-01" 215 136 77 3.28776480396971 0.550920713161243 2.68915643345409 0.392359536341956 NA
"347" "2018-11-24" 294 164 125 3.25068951828783 0.594666597608642 2.55811498409651 0.461173733647173 NA
"346" "2018-11-17" 273 152 116 3.15751504325797 0.562586656685339 2.62397251138278 0.427526420748512 NA
"345" "2018-11-10" 242 135 102 3.16009093311409 0.598444341433715 2.70087899651137 0.468285331823511 NA
"344" "2018-11-03" 254 149 102 3.25505842030973 0.570559082275978 2.66014826617724 0.444415880051837 NA
"343" "2018-10-27" 146 82 62 3.22133528950139 0.518298497844182 2.72529485956925 0.424005623855427 NA
"342" "2018-10-20" 244 141 93 3.25338896507506 0.664540188621488 2.65007214996625 0.441526648630607 NA
"341" "2018-10-13" 184 99 81 3.20319884499927 0.5937347317183 2.71677782586331 0.464762091247035 NA
"340" "2018-10-06" 212 120 90 3.29446587694519 0.562386698553775 2.7600667367423 0.371151792047972 NA
"339" "2018-09-29" 209 121 86 3.22242224383065 0.641202109140052 2.69141104284376 0.418032596651677 NA
"338" "2018-09-22" 240 135 99 3.27684030273816 0.599697997530267 2.67127326109819 0.457305254230189 NA
"337" "2018-09-15" 241 137 99 3.21444937107697 0.601335974481904 2.67624183799065 0.440814603552649 NA
"336" "2018-09-08" 211 123 83 3.24734618813476 0.548357153092611 2.67953370397741 0.501337036268878 NA
"335" "2018-09-01" 239 148 86 3.29411869025715 0.564262856878729 2.64107923761606 0.408480019954045 NA
"334" "2018-08-25" 275 147 123 3.27781692061232 0.596597455477451 2.61709688801011 0.497600587137542 NA
"333" "2018-08-11" 198 106 85 3.25980072685574 0.490356092538522 2.69368875400583 0.50621154606593 NA
"332" "2018-08-04" 252 132 115 3.2403560223242 0.599083424448725 2.5615270435081 0.431393108584307 NA
"331" "2018-07-28" 250 152 93 3.33618066563455 0.633847698531121 2.61387589746775 0.413268440812093 NA
"330" "2018-07-21" 289 170 112 3.31044199316242 0.570878744492463 2.70351252051027 0.458510309564383 NA
"329" "2018-07-14" 254 154 95 3.28551702758853 0.5888202848083 2.69954849602193 0.462291755179514 NA
"328" "2018-07-07" 280 164 109 3.14721812095022 0.600460616776662 2.61009777315693 0.443395394673165 NA
"327" "2018-06-30" 212 124 85 3.28477290889582 0.581696778574806 2.73304458249614 0.463822652011099 NA
"326" "2018-06-23" 245 147 96 3.33480807486214 0.621337346327308 2.676658714561 0.447167928334943 NA
"325" "2018-06-16" 279 173 98 3.4439449485608 0.608818278880966 2.77331473073391 0.486782715753978 NA
"324" "2018-06-09" 226 127 94 3.27010719007713 0.528780707123624 2.63010897348067 0.394700547891961 NA
"323" "2018-06-02" 279 150 119 3.15292741678042 0.573233566886124 2.67826168465838 0.395134006233365 NA
"322" "2018-05-26" 266 138 122 3.18226491783189 0.61243275974421 2.66701820023703 0.442541117393226 NA
"321" "2018-05-19" 264 144 110 3.16393426632993 0.61474275550637 2.59727151672751 0.468523512225657 NA
"320" "2018-05-12" 249 147 98 3.32060456043603 0.591537704167021 2.63828126504208 0.472761521116489 NA
"319" "2018-05-05" 285 157 125 3.26043988619019 0.556402679480456 2.64996756575291 0.45020059195104 NA
"318" "2018-04-28" 234 133 101 3.26445002220746 0.587879379729043 2.6935828608598 0.416514563030444 NA
"317" "2018-04-21" 260 140 115 3.27511198910504 0.566222495279823 2.56788832658741 0.521115416836249 NA
"316" "2018-04-14" 316 166 142 3.21258501175417 0.537622703279821 2.63538614802166 0.404742741259163 NA
"315" "2018-04-07" 266 148 114 3.27128844828483 0.613207928557463 2.6517390655451 0.449284944556335 NA
"314" "2018-03-31" 206 114 86 3.2605139906389 0.558125822865971 2.75988288989284 0.441012754277881 NA
"313" "2018-03-24" 232 131 94 3.27324512372869 0.609317971362283 2.64872204736214 0.404232765453173 NA
"312" "2018-03-17" 219 124 92 3.1718762617667 0.578845604641866 2.6310066595646 0.352082913265546 NA
"311" "2018-03-10" 189 104 77 3.244454165604 0.544723140411167 2.61149707635828 0.400028062695831 NA
"310" "2018-02-24" 242 131 105 3.26853301865837 0.525748235973172 2.69103624029743 0.360078664095636 NA
"309" "2018-02-17" 293 160 129 3.2684907321808 0.584440458551882 2.60901764486145 0.380032636430431 NA
"308" "2018-02-10" 321 180 140 3.20770450009519 0.513069702381398 2.62001105978324 0.355583391557975 NA
"307" "2018-02-03" 223 131 89 3.26947395100917 0.574001917578983 2.64034981804265 0.395114184149996 NA
"306" "2018-01-27" 274 148 125 3.19889812840264 0.564497654946219 2.5557421846757 0.361509291096821 NA
"305" "2018-01-13" 259 128 122 3.20147735489144 0.515181391162194 2.58876599730833 0.432675125653335 NA
"304" "2018-01-06" 204 106 94 3.19359509116519 0.547266025892672 2.51365356316817 0.382760356452584 NA
"303" "2018-01-01" 323 176 142 3.2161565519686 0.543694327162665 2.62822342845099 0.41983598665979 NA
"302" "2017-12-30" 207 132 72 3.12201125645345 0.539506272214035 2.63051583087329 0.404511211849463 NA
"301" "2017-12-25" 238 122 97 3.32588677494428 0.60832834029787 2.71439218306076 0.432218708100806 NA
"300" "2017-12-23" 269 155 107 3.3046578662058 0.536662197045293 2.67378050380426 0.377932145701738 NA
"299" "2017-12-09" 122 76 46 3.235737091514 0.483911519195313 2.81557760864782 0.335207889563625 NA
"298" "2017-11-25" 191 120 69 3.23673072212669 0.624549396682227 2.70041142950882 0.425833815453686 NA
"297" "2017-11-18" 224 121 98 3.26990370751786 0.509078414794874 2.63491443403751 0.405974819324139 NA
"296" "2017-11-11" 273 151 117 3.26332164807668 0.490084644509368 2.65097029578879 0.43854519967102 NA
"295" "2017-11-04" 254 138 116 3.26472954805909 0.520917004037796 2.72807731467265 0.439444359897769 NA
"294" "2017-10-28" 267 148 117 3.21509221018391 0.569320400624826 2.62295143817778 0.409691018589885 NA
"293" "2017-10-21" 282 149 126 3.27399023428832 0.564903320199189 2.65652617479526 0.48052372261047 NA
"292" "2017-10-14" 290 151 137 3.23899831827973 0.608841043023606 2.59908814693116 0.476867097334544 NA
"291" "2017-10-07" 219 115 97 3.16578142284112 0.562973614905773 2.69242042888426 0.369309180672881 NA
"290" "2017-09-30" 245 130 110 3.14036826581689 0.574780035894717 2.62798463215563 0.426945928319674 NA
"289" "2017-09-23" 281 154 124 3.29648669598069 0.625830017408068 2.60820460772083 0.422109492051816 NA
"288" "2017-09-16" 253 132 110 3.24419778410004 0.587784513407074 2.67377892099776 0.458147854810419 NA
"287" "2017-09-09" 189 100 87 3.37711566053874 0.607192979666341 2.68724854741569 0.467723510695864 NA
"286" "2017-09-02" 198 110 84 3.31187100519489 0.539715426236878 2.65918032898111 0.464799092055563 NA
"285" "2017-08-26" 202 118 82 3.23819647715631 0.545573404804281 2.67600022840855 0.38178911408434 NA
"284" "2017-08-19" 251 154 81 3.21541828395458 0.533717120673075 2.7814740495722 0.416712357112915 NA
"283" "2017-08-12" 183 107 69 3.19605141432401 0.565131639038637 2.66889725266848 0.432134663069361 NA
"282" "2017-08-05" 217 125 84 3.29235936725683 0.54938145157417 2.72190515323786 0.414579502278759 NA
"281" "2017-07-29" 215 141 68 3.28605494084484 0.585960646138596 2.75693179037572 0.432456496491428 NA
"280" "2017-07-22" 228 138 86 3.28972046803964 0.537531129313495 2.81839728283711 0.38806175229415 NA
"279" "2017-07-15" 154 84 69 3.30622465894781 0.600767119325846 2.77655433293562 0.408623134233786 NA
"278" "2017-07-08" 285 162 118 3.25915620567868 0.607769036765095 2.77236191542023 0.435248236063243 NA
"277" "2017-07-01" 209 105 96 3.25566721326503 0.564391259085069 2.77188780234999 0.451595219176257 NA
