"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "southshields" "157" 1 "480480" "18:11" 1091 "SM30-34" 71.13 "M" 1 "PB stays at 00:16:54" 144
"2" "southshields" "157" 2 "1017179" "18:58" 1138 "VM35-39" 69.51 "M" 2 "PB stays at 00:18:32" 61
"3" "southshields" "157" 3 "1689897" "19:13" 1153 "JM15-17" 72.42 "M" 3 "PB stays at 00:18:19" 26
"4" "southshields" "157" 4 "856141" "19:17" 1157 "SM30-34" 67.42 "M" 4 "PB stays at 00:18:28" 51
"5" "southshields" "157" 5 "497774" "19:20" 1160 "VM35-39" 68.62 "M" 5 "PB stays at 00:18:39" 66
"6" "southshields" "157" 6 "1815017" "19:24" 1164 "SM20-24" 66.49 "M" 6 "PB stays at 00:18:29" 17
"7" "southshields" "157" 7 NA NA NA NA NA NA NA NA NA
"8" "southshields" "157" 8 "62122" "19:29" 1169 "SM30-34" 66.38 "M" 8 "New PB!" 117
"9" "southshields" "157" 9 "95575" "19:31" 1171 "VM35-39" 68.4 "M" 9 "PB stays at 00:18:34" 13
"10" "southshields" "157" 10 NA NA NA NA NA NA NA NA NA
"11" "southshields" "157" 11 "2328662" "19:49" 1189 "SM20-24" 65.1 "M" 11 "First Timer!" 8
"12" "southshields" "157" 12 "951249" "19:53" 1193 "VM50-54" 74.18 "M" 12 "PB stays at 00:19:02" 71
"13" "southshields" "157" 13 "103726" "20:02" 1202 "SM30-34" 64.73 "M" 13 "First Timer!" 39
"14" "southshields" "157" 14 "496845" "20:03" 1203 "SM30-34" 65.09 "M" 14 "PB stays at 00:18:51" 138
"15" "southshields" "157" 15 "1434845" "20:08" 1208 "SM30-34" 64.57 "M" 15 "PB stays at 00:17:59" 67
"16" "southshields" "157" 16 "202510" "20:09" 1209 "VM60-64" 81.72 "M" 16 "PB stays at 00:19:43" 88
"17" "southshields" "157" 17 "110191" "20:18" 1218 "VM50-54" 73.81 "M" 17 "PB stays at 00:18:48" 339
"18" "southshields" "157" 18 "1282898" "20:31" 1231 "JM11-14" 70.67 "M" 18 "New PB!" 31
"19" "southshields" "157" 19 "80838" "20:42" 1242 "VW35-39" 72.22 "F" 1 "PB stays at 00:20:18" 115
"20" "southshields" "157" 20 "666144" "20:46" 1246 "VM35-39" 63.48 "M" 19 "PB stays at 00:19:56" 47
"21" "southshields" "157" 21 "500020" "20:48" 1248 "VM35-39" 64.18 "M" 20 "PB stays at 00:19:52" 221
