"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "sunderland" "479" 1 "364055" "16:03" 963 "VM40-44" 87.64 "M" 1 "New PB!" 20
"2" "sunderland" "479" 2 "57709" "16:41" 1001 "SM30-34" 78.22 "M" 2 "PB stays at 00:15:26" 64
"3" "sunderland" "479" 3 "1183098" "18:03" 1083 "VM35-39" 73.5 "M" 3 "PB stays at 00:17:30" 109
"4" "sunderland" "479" 4 "110181" "18:30" 1110 "VM45-49" 76.67 "M" 4 "PB stays at 00:18:19" 126
"5" "sunderland" "479" 5 "2436905" "18:42" 1122 "SM30-34" 69.79 "M" 5 "First Timer!" 105
"6" "sunderland" "479" 6 "123169" "18:58" 1138 "VM35-39" 70.91 "M" 6 "PB stays at 00:18:28" 82
"7" "sunderland" "479" 7 "144010" "19:44" 1184 "VM45-49" 74.16 "M" 7 "PB stays at 00:18:11" 315
"8" "sunderland" "479" 8 "5584061" "19:58" 1198 "SM20-24" 64.61 "M" 8 "New PB!" 3
"9" "sunderland" "479" 9 "1930018" "19:59" 1199 "VM50-54" 76.23 "M" 9 "PB stays at 00:19:52" 93
"10" "sunderland" "479" 10 "235755" "20:03" 1203 "VM55-59" 78.64 "M" 10 "PB stays at 00:19:20" 38
"11" "sunderland" "479" 11 "179439" "20:20" 1220 "VM50-54" 74.34 "M" 11 "PB stays at 00:19:50" 72
"12" "sunderland" "479" 12 "56872" "20:32" 1232 "VM50-54" 71.83 "M" 12 "PB stays at 00:19:44" 323
"13" "sunderland" "479" 13 "168811" "20:59" 1259 "VM50-54" 72.6 "M" 13 "PB stays at 00:18:56" 60
"14" "sunderland" "479" 14 "464155" "21:11" 1271 "VM40-44" 64.44 "M" 14 "PB stays at 00:20:46" 39
"15" "sunderland" "479" 15 "3169868" "21:12" 1272 "SM30-34" 61.32 "M" 15 "PB stays at 00:20:46" 33
"16" "sunderland" "479" 16 "292781" "21:20" 1280 "VM55-59" 72.03 "M" 16 "PB stays at 00:18:56" 111
"17" "sunderland" "479" 17 "307354" "21:20" 1280 "VM45-49" 66.48 "M" 17 "PB stays at 00:19:46" 175
"18" "sunderland" "479" 18 "5592494" "21:36" 1296 "SM25-29" 59.8 "M" 18 "PB stays at 00:21:09" 2
"19" "sunderland" "479" 19 "461370" "21:40" 1300 "VM55-59" 72.77 "M" 19 "PB stays at 00:20:20" 129
"20" "sunderland" "479" 20 "645798" "21:48" 1308 "JM15-17" 62.84 "M" 20 "PB stays at 00:19:51" 150
"21" "sunderland" "479" 21 "1116953" "21:51" 1311 "VM45-49" 65.9 "M" 21 "PB stays at 00:19:40" 50
"22" "sunderland" "479" 22 "5220852" "21:52" 1312 "VM45-49" 65.32 "M" 22 "PB stays at 00:19:55" 7
"23" "sunderland" "479" 23 NA NA NA NA NA NA NA NA NA
"24" "sunderland" "479" 24 "557565" "22:18" 1338 "VM45-49" 65.1 "M" 24 "PB stays at 00:19:35" 254
"25" "sunderland" "479" 25 NA NA NA NA NA NA NA NA NA
"26" "sunderland" "479" 26 "179441" "22:36" 1356 "VM55-59" 67.99 "M" 26 "PB stays at 00:19:16" 108
"27" "sunderland" "479" 27 "3510071" "22:52" 1372 "VM35-39" 59.26 "M" 27 "PB stays at 00:21:49" 58
"28" "sunderland" "479" 28 NA NA NA NA NA NA NA NA NA
"29" "sunderland" "479" 29 "1084086" "23:14" 1394 "VM45-49" 62.98 "M" 29 "PB stays at 00:22:47" 114
"30" "sunderland" "479" 30 "351093" "23:17" 1397 "VM45-49" 61.35 "M" 30 "PB stays at 00:20:24" 246
"31" "sunderland" "479" 31 "5578530" "23:20" 1400 "VM35-39" 56.5 "M" 31 "New PB!" 3
"32" "sunderland" "479" 32 "3835635" "23:22" 1402 "VM40-44" 59.27 "M" 32 "PB stays at 00:22:36" 54
"33" "sunderland" "479" 33 "865434" "23:25" 1405 "VM40-44" 59.15 "M" 33 "PB stays at 00:21:17" 56
"34" "sunderland" "479" 34 "472414" "23:29" 1409 "VM45-49" 60.82 "M" 34 "First Timer!" 42
"35" "sunderland" "479" 35 "241208" "23:29" 1409 "VM45-49" 60.82 "M" 35 "PB stays at 00:21:33" 135
"36" "sunderland" "479" 36 "645796" "23:30" 1410 "VM40-44" 59.43 "M" 36 "PB stays at 00:21:57" 179
"37" "sunderland" "479" 37 "2317639" "23:43" 1423 "VM60-64" 68.8 "M" 37 "PB stays at 00:21:44" 147
"38" "sunderland" "479" 38 "5005124" "23:46" 1426 "VM35-39" 55.82 "M" 38 "First Timer!" 16
"39" "sunderland" "479" 39 "3283955" "23:47" 1427 "SM30-34" 55.15 "M" 39 "PB stays at 00:23:43" 29
"40" "sunderland" "479" 40 "1139090" "23:48" 1428 "VW40-44" 65.13 "F" 1 "PB stays at 00:23:44" 202
"41" "sunderland" "479" 41 "1543565" "23:49" 1429 "VM45-49" 59.55 "M" 40 "PB stays at 00:20:37" 168
"42" "sunderland" "479" 42 NA NA NA NA NA NA NA NA NA
"43" "sunderland" "479" 43 "310300" "24:00" 1440 "VM50-54" 61.94 "M" 42 "PB stays at 00:19:14" 304
