"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"484" "2019-05-18" NA NA NA NA NA NA NA NA
"483" "2019-05-11" NA NA NA NA NA NA NA NA
"482" "2019-05-04" NA NA NA NA NA NA NA NA
"481" "2019-04-20" NA NA NA NA NA NA NA NA
"480" "2019-04-13" NA NA NA NA NA NA NA NA
"479" "2019-04-06" NA NA NA NA NA NA NA NA
"478" "2019-03-30" NA NA NA NA NA NA NA NA
"477" "2019-03-23" NA NA NA NA NA NA NA NA
"476" "2019-03-16" NA NA NA NA NA NA NA NA
"475" "2019-03-09" NA NA NA NA NA NA NA NA
"474" "2019-03-02" NA NA NA NA NA NA NA NA
"473" "2019-02-23" NA NA NA NA NA NA NA NA
"472" "2019-02-16" NA NA NA NA NA NA NA NA
"471" "2019-02-09" NA NA NA NA NA NA NA NA
"470" "2019-02-02" NA NA NA NA NA NA NA NA
"469" "2019-01-26" NA NA NA NA NA NA NA NA
"468" "2019-01-12" NA NA NA NA NA NA NA NA
"467" "2019-01-05" NA NA NA NA NA NA NA NA
"466" "2019-01-01" NA NA NA NA NA NA NA NA
"465" "2018-12-29" NA NA NA NA NA NA NA NA
"464" "2018-12-22" NA NA NA NA NA NA NA NA
"463" "2018-12-15" NA NA NA NA NA NA NA NA
"462" "2018-12-08" NA NA NA NA NA NA NA NA
"461" "2018-12-01" NA NA NA NA NA NA NA NA
"460" "2018-11-24" NA NA NA NA NA NA NA NA
"459" "2018-11-17" NA NA NA NA NA NA NA NA
"458" "2018-11-10" NA NA NA NA NA NA NA NA
"457" "2018-11-03" NA NA NA NA NA NA NA NA
"456" "2018-10-27" NA NA NA NA NA NA NA NA
"455" "2018-10-20" NA NA NA NA NA NA NA NA
"454" "2018-10-06" NA NA NA NA NA NA NA NA
"453" "2018-09-29" NA NA NA NA NA NA NA NA
"452" "2018-09-22" NA NA NA NA NA NA NA NA
"451" "2018-09-15" NA NA NA NA NA NA NA NA
"450" "2018-09-08" NA NA NA NA NA NA NA NA
"449" "2018-09-01" NA NA NA NA NA NA NA NA
"448" "2018-08-25" NA NA NA NA NA NA NA NA
"447" "2018-08-18" NA NA NA NA NA NA NA NA
"446" "2018-08-11" NA NA NA NA NA NA NA NA
"445" "2018-08-04" NA NA NA NA NA NA NA NA
"444" "2018-07-28" NA NA NA NA NA NA NA NA
"443" "2018-07-21" NA NA NA NA NA NA NA NA
"442" "2018-07-14" NA NA NA NA NA NA NA NA
"441" "2018-07-07" NA NA NA NA NA NA NA NA
"440" "2018-06-30" NA NA NA NA NA NA NA NA
"439" "2018-06-23" NA NA NA NA NA NA NA NA
"438" "2018-06-16" NA NA NA NA NA NA NA NA
"437" "2018-06-09" NA NA NA NA NA NA NA NA
"436" "2018-06-02" NA NA NA NA NA NA NA NA
"435" "2018-05-26" NA NA NA NA NA NA NA NA
"434" "2018-05-19" NA NA NA NA NA NA NA NA
"433" "2018-05-12" NA NA NA NA NA NA NA NA
"432" "2018-05-05" NA NA NA NA NA NA NA NA
"431" "2018-04-28" NA NA NA NA NA NA NA NA
"430" "2018-04-21" NA NA NA NA NA NA NA NA
"429" "2018-04-14" NA NA NA NA NA NA NA NA
"428" "2018-04-07" NA NA NA NA NA NA NA NA
"427" "2018-03-31" NA NA NA NA NA NA NA NA
"426" "2018-03-24" NA NA NA NA NA NA NA NA
"425" "2018-03-10" NA NA NA NA NA NA NA NA
"424" "2018-02-24" NA NA NA NA NA NA NA NA
"423" "2018-02-17" NA NA NA NA NA NA NA NA
"422" "2018-02-10" NA NA NA NA NA NA NA NA
"421" "2018-02-03" NA NA NA NA NA NA NA NA
"420" "2018-01-27" NA NA NA NA NA NA NA NA
"419" "2018-01-13" NA NA NA NA NA NA NA NA
"418" "2018-01-06" NA NA NA NA NA NA NA NA
"417" "2018-01-01" NA NA NA NA NA NA NA NA
"416" "2017-12-23" NA NA NA NA NA NA NA NA
"415" "2017-12-09" NA NA NA NA NA NA NA NA
"414" "2017-11-18" NA NA NA NA NA NA NA NA
"413" "2017-11-11" NA NA NA NA NA NA NA NA
"412" "2017-11-04" NA NA NA NA NA NA NA NA
"411" "2017-10-28" NA NA NA NA NA NA NA NA
"410" "2017-10-21" NA NA NA NA NA NA NA NA
"409" "2017-10-14" NA NA NA NA NA NA NA NA
"408" "2017-10-07" NA NA NA NA NA NA NA NA
"407" "2017-09-30" NA NA NA NA NA NA NA NA
"406" "2017-09-23" NA NA NA NA NA NA NA NA
"405" "2017-09-16" NA NA NA NA NA NA NA NA
"404" "2017-09-09" NA NA NA NA NA NA NA NA
"403" "2017-09-02" NA NA NA NA NA NA NA NA
"402" "2017-08-26" NA NA NA NA NA NA NA NA
"401" "2017-08-19" NA NA NA NA NA NA NA NA
"400" "2017-08-12" NA NA NA NA NA NA NA NA
"399" "2017-08-05" NA NA NA NA NA NA NA NA
"398" "2017-07-29" NA NA NA NA NA NA NA NA
"397" "2017-07-22" NA NA NA NA NA NA NA NA
"396" "2017-07-15" NA NA NA NA NA NA NA NA
"395" "2017-07-08" NA NA NA NA NA NA NA NA
"394" "2017-07-01" NA NA NA NA NA NA NA NA
"393" "2017-06-24" NA NA NA NA NA NA NA NA
"392" "2017-06-17" NA NA NA NA NA NA NA NA
"391" "2017-06-10" NA NA NA NA NA NA NA NA
"390" "2017-06-03" NA NA NA NA NA NA NA NA
"389" "2017-05-27" NA NA NA NA NA NA NA NA
"388" "2017-05-20" NA NA NA NA NA NA NA NA
"387" "2017-05-13" NA NA NA NA NA NA NA NA
"386" "2017-05-06" NA NA NA NA NA NA NA NA
"385" "2017-04-29" NA NA NA NA NA NA NA NA
"384" "2017-04-22" NA NA NA NA NA NA NA NA
"383" "2017-04-15" NA NA NA NA NA NA NA NA
"382" "2017-04-08" NA NA NA NA NA NA NA NA
"381" "2017-04-01" NA NA NA NA NA NA NA NA
"380" "2017-03-25" NA NA NA NA NA NA NA NA
"379" "2017-03-18" NA NA NA NA NA NA NA NA
"378" "2017-03-11" NA NA NA NA NA NA NA NA
"377" "2017-03-04" NA NA NA NA NA NA NA NA
"376" "2017-02-25" NA NA NA NA NA NA NA NA
"375" "2017-02-18" NA NA NA NA NA NA NA NA
"374" "2017-02-11" NA NA NA NA NA NA NA NA
"373" "2017-02-04" NA NA NA NA NA NA NA NA
"372" "2017-01-28" NA NA NA NA NA NA NA NA
