"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"60" "2019-02-16" 24 17 3 3.21111269694367 0.400474443161826 2.84011523087392 0.312311358552747 NA
"59" "2019-02-09" 26 19 4 3.2933380441007 0.471907014628006 2.57496041274179 0.347935886512823 NA
"58" "2019-01-26" 36 25 5 3.19932478477179 0.463401877911704 2.92678076511028 0.57893261747649 NA
"57" "2019-01-19" 45 26 13 3.15003728453087 0.518965333653749 2.52779485153636 0.341015264129643 NA
"56" "2019-01-12" 57 33 13 3.05735138593441 0.479141578794736 2.62800371934271 0.380361650444438 NA
"55" "2019-01-05" 39 25 11 3.03739181374269 0.527461002672551 2.85357318699441 0.638765353429287 NA
"54" "2018-12-29" 42 28 13 2.98666278297739 0.483854947678182 2.87991850478968 0.416277401190042 NA
"53" "2018-12-22" 44 30 13 3.19340756041536 0.500841370868484 2.78096513585615 0.422397876787175 NA
"52" "2018-12-15" 32 27 5 3.14772318573501 0.419611430723145 2.89783530240125 0.507732482122223 NA
"51" "2018-12-08" 21 11 10 3.05146417867815 0.327127010250939 2.33908179043235 0.235126702884199 NA
"50" "2018-12-01" 33 25 8 3.16514547490722 0.519081356065495 2.54394227363926 0.346309800091647 NA
"49" "2018-11-24" 27 17 10 3.11908030237876 0.489694918684948 2.50203645635341 0.435352744409803 NA
"48" "2018-11-17" 26 16 8 3.20517512605523 0.517425706994277 2.60015599027773 0.311897740218267 NA
"47" "2018-11-10" 34 23 8 3.04933890729172 0.548072792862558 2.53013240830496 0.408183690257999 NA
"46" "2018-11-03" 61 40 18 3.22263039996401 0.504850312539253 2.46540256748402 0.51957673287176 NA
"45" "2018-10-27" 34 18 9 3.07437259808999 0.499778868049771 2.47373576217976 0.310076366694304 NA
"44" "2018-10-20" 72 39 28 3.2215738579589 0.484759688241763 2.42552133986156 0.579884831398466 NA
"43" "2018-10-13" 26 19 6 3.12976544089821 0.643841934480003 2.3325024338584 0.398047395739086 NA
"42" "2018-10-06" 47 32 12 3.31346765154395 0.499955675065206 2.68664220979693 0.560386600654203 NA
"41" "2018-09-29" 31 22 8 3.16488169073256 0.42535793241087 2.41839299491418 0.398252075261173 NA
"40" "2018-09-22" 32 16 10 3.31882664306371 0.507452957191013 2.54172896089739 0.548959174492371 NA
"39" "2018-09-15" 38 21 13 3.30576267712575 0.657056088661554 2.93044587329997 0.493848277401685 NA
"38" "2018-09-08" 54 28 25 3.13492883667338 0.499062885186719 2.43506854567432 0.55918869133857 NA
"37" "2018-09-01" 22 14 8 3.25524538366661 0.506859889569372 2.47146581887971 0.429509585527531 NA
"36" "2018-08-25" 28 15 10 3.10989230551791 0.482441963240885 2.67756849461308 0.392226265098583 NA
"35" "2018-08-18" 38 26 8 3.2316636196794 0.618864830331299 2.68602742406865 0.378567968620357 NA
"34" "2018-08-11" 37 21 12 3.29059515141268 0.573300364927227 2.67108036250107 0.421160410394155 NA
"33" "2018-08-04" 47 25 20 3.27500663641928 0.482047811923279 2.65596591982477 0.543627158308118 NA
"32" "2018-07-28" 29 18 11 3.03282309294593 0.454968684221085 2.4663414859194 0.448249482768191 NA
"31" "2018-07-21" 51 27 23 3.11997303176633 0.580040497573304 2.57507803154191 0.430668290267589 NA
"30" "2018-07-14" 56 30 24 3.06268084662669 0.688716850514043 2.53794649321371 0.494894361376306 NA
"29" "2018-07-07" 51 28 23 3.12668361460633 0.565368312843283 2.44344400750798 0.374364646311753 NA
"28" "2018-06-30" 34 27 6 3.14198177905455 0.547567710227537 2.40894960919709 0.561741625238389 NA
"27" "2018-06-23" 31 18 11 3.15752263408507 0.485970370482009 2.70314572483818 0.564143915060358 NA
"26" "2018-06-16" 40 27 12 3.23150382192806 0.640739100576073 2.72460923353421 0.464936877271074 NA
"25" "2018-06-09" 26 15 10 3.15678901948522 0.565115825623664 2.6372276596899 0.479196205158677 NA
"24" "2018-06-02" 46 28 17 3.10286688971314 0.520718543459746 2.71941413910709 0.454447294622185 NA
"23" "2018-05-26" 36 28 7 3.39560050353665 0.5819816404845 2.93627247533414 0.608279744377615 NA
"22" "2018-05-19" 41 28 13 3.36272118222439 0.555681524565636 2.63375580049827 0.546995633673873 NA
"21" "2018-05-12" 29 20 9 3.07803074154627 0.574983067085495 2.48803929995992 0.378988071293496 NA
"20" "2018-05-05" 61 42 18 3.16901000469663 0.527923536196676 2.60595635527313 0.350865587442501 NA
"19" "2018-04-28" 40 26 13 3.08841308676761 0.549482831687778 2.69558737797114 0.325566320543066 NA
"18" "2018-04-21" 37 26 8 3.04544901426721 0.658750328360635 2.25624068855873 0.281645722755402 NA
"17" "2018-04-14" 33 25 8 2.98775691164142 0.607254541119508 2.14134867884709 0.411894703104638 NA
"16" "2018-04-07" 23 14 8 3.28499505708909 0.513209919981215 2.5930835171858 0.560352876576869 NA
"15" "2018-03-31" 61 37 22 3.23364167136176 0.459749577943489 2.9016182690386 0.370795350237913 NA
"14" "2018-03-24" 43 30 10 3.2689504523344 0.470730163774573 2.79571034698005 0.360598056754676 NA
"13" "2018-03-17" 15 13 1 3.24906024348188 0.469078219891355 2.90023201856148 NA NA
"12" "2018-03-10" 22 17 5 3.22400424242855 0.544487481528518 2.63687338837763 0.334062948039072 NA
"11" "2018-02-24" 39 29 10 3.28690160384915 0.428974191158035 2.47220516145621 0.41401993782254 NA
"10" "2018-02-17" 27 20 7 3.03840113813408 0.474693121008649 2.35251954432489 0.283799481478917 NA
"9" "2018-02-10" 35 23 6 3.18922998648357 0.461957722421575 2.76738850600124 0.347934671747513 NA
"8" "2018-02-03" 49 29 20 3.23921555047711 0.510267515355278 2.64401190902682 0.661070317214629 NA
"7" "2018-01-27" 44 31 12 3.02798318785632 0.643862700729196 2.50304033523842 0.357608222824907 NA
"6" "2018-01-13" 38 27 10 3.19598956107437 0.551471486231317 2.5071441500231 0.436137620688382 NA
"5" "2018-01-06" 25 20 5 3.03226953656587 0.53027121729737 2.40334443831685 0.31314076287602 NA
"4" "2017-12-23" 60 38 12 3.19560529857637 0.484243623483705 2.50593477080364 0.348927840645759 NA
"3" "2017-12-16" 35 27 7 3.15955521751392 0.522468700010179 2.98734013877083 0.332540017938075 NA
"2" "2017-12-09" 45 25 16 3.33987498538822 0.439011755254352 2.6859713876868 0.455661533571294 NA
"1" "2017-12-02" NA NA NA NA NA NA NA NA
