"eventName" "runSeqNumber" "pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" "worcesterpitchcroft" "5" 1 "189190" "16:46" 1006 "VM40-44" 82.01 "M" 1 "New PB!" 12
"2" "worcesterpitchcroft" "5" 2 "197985" "17:03" 1023 "SM30-34" 76.05 "M" 2 "First Timer!" 93
"3" "worcesterpitchcroft" "5" 3 "175544" "17:04" 1024 "VM35-39" 77.73 "M" 3 "PB stays at 00:17:04" 47
"4" "worcesterpitchcroft" "5" 4 "292726" "17:09" 1029 "VM35-39" 76.87 "M" 4 "First Timer!" 59
"5" "worcesterpitchcroft" "5" 5 "519602" "17:18" 1038 "JM11-14" 85.93 "M" 5 "First Timer!" 56
"6" "worcesterpitchcroft" "5" 6 "255071" "18:05" 1085 "VM45-49" 80.28 "M" 6 "First Timer!" 53
"7" "worcesterpitchcroft" "5" 7 "161867" "18:06" 1086 "VM45-49" 80.2 "M" 7 "First Timer!" 45
"8" "worcesterpitchcroft" "5" 8 "3596600" "18:10" 1090 "VM40-44" 76.88 "M" 8 "New PB!" 20
"9" "worcesterpitchcroft" "5" 9 "477552" "18:13" 1093 "VM45-49" 79.69 "M" 9 "First Timer!" 194
"10" "worcesterpitchcroft" "5" 10 "254981" "18:16" 1096 "VM40-44" 75.27 "M" 10 "PB stays at 00:17:48" 283
"11" "worcesterpitchcroft" "5" 11 "503563" "18:24" 1104 "SM30-34" 71.29 "M" 11 "First Timer!" 188
"12" "worcesterpitchcroft" "5" 12 "365095" "18:30" 1110 "VM45-49" 76.67 "M" 12 "New PB!" 82
"13" "worcesterpitchcroft" "5" 13 "400187" "18:50" 1130 "JM11-14" 75.31 "M" 13 "New PB!" 126
"14" "worcesterpitchcroft" "5" 14 "198114" "19:01" 1141 "VM50-54" 77.56 "M" 14 "PB stays at 00:18:35" 130
"15" "worcesterpitchcroft" "5" 15 "1742151" "19:07" 1147 "VW50-54" 87.71 "F" 1 "New PB!" 101
"16" "worcesterpitchcroft" "5" 16 "173363" "19:22" 1162 "VM55-59" 80.03 "M" 15 "First Timer!" 181
"17" "worcesterpitchcroft" "5" 17 "3269187" "19:28" 1168 "VM40-44" 70.63 "M" 16 "New PB!" 16
"18" "worcesterpitchcroft" "5" 18 "232395" "19:30" 1170 "JW11-14" 80.6 "F" 2 "First Timer!" 18
"19" "worcesterpitchcroft" "5" 19 "3627169" "19:32" 1172 "VM40-44" 71.5 "M" 17 "New PB!" 6
"20" "worcesterpitchcroft" "5" 20 "64734" "19:33" 1173 "VM55-59" 81.33 "M" 18 "First Timer!" 124
"21" "worcesterpitchcroft" "5" 21 "1654418" "19:39" 1179 "SM25-29" 65.73 "M" 19 "First Timer!" 66
"22" "worcesterpitchcroft" "5" 22 "2491217" "19:46" 1186 "JW11-14" 79.51 "F" 3 "First Timer!" 98
"23" "worcesterpitchcroft" "5" 23 "584608" "19:47" 1187 "VM35-39" 67.06 "M" 20 "First Timer!" 54
"24" "worcesterpitchcroft" "5" 24 "837576" "19:54" 1194 "VM40-44" 70.69 "M" 21 "First Timer!" 155
"25" "worcesterpitchcroft" "5" 25 "349278" "19:56" 1196 "VM50-54" 75.84 "M" 22 "New PB!" 238
"26" "worcesterpitchcroft" "5" 26 "232851" "20:08" 1208 "VM50-54" 75.08 "M" 23 "First Timer!" 21
"27" "worcesterpitchcroft" "5" 27 "1961523" "20:16" 1216 "VM50-54" 72.78 "M" 24 "First Timer!" 103
"28" "worcesterpitchcroft" "5" 28 "475310" "20:20" 1220 "VM40-44" 68.11 "M" 25 "First Timer!" 310
"29" "worcesterpitchcroft" "5" 29 "168889" "20:40" 1240 "SM30-34" 62.9 "M" 26 "First Timer!" 55
"30" "worcesterpitchcroft" "5" 30 "1657768" "20:51" 1251 "VM55-59" 73.7 "M" 27 "PB stays at 00:20:19" 63
"31" "worcesterpitchcroft" "5" 31 "299220" "20:58" 1258 "SW25-29" 70.59 "F" 4 "First Timer!" 328
"32" "worcesterpitchcroft" "5" 32 "616982" "20:59" 1259 "VM45-49" 68.07 "M" 28 "PB stays at 00:20:07" 68
"33" "worcesterpitchcroft" "5" 33 "2908336" "21:04" 1264 "SM30-34" 61.71 "M" 29 "PB stays at 00:20:53" 20
"34" "worcesterpitchcroft" "5" 34 "2237004" "21:14" 1274 "JM11-14" 70.02 "M" 30 "PB stays at 00:17:51" 55
"35" "worcesterpitchcroft" "5" 35 "193717" "21:31" 1291 "VM40-44" 64.37 "M" 31 "PB stays at 00:20:07" 177
