"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"85" "2019-02-23" 324 158 144 3.32803937491403 0.688860205747125 2.7037444365899 0.488284227731177 NA
"84" "2019-02-16" 340 171 148 3.37282776617808 0.587460777623586 2.77735628696889 0.536264286011762 NA
"83" "2019-02-09" 310 152 138 3.20247594375616 0.572605096341481 2.6122188957002 0.507579657353874 NA
"82" "2019-02-02" 248 121 111 3.37270750017411 0.655854322205869 2.69073090469128 0.407432509593012 NA
"81" "2019-01-26" 314 150 146 3.31549217063564 0.592335453449248 2.65465278864428 0.474366968783196 NA
"80" "2019-01-19" 310 163 129 3.34747976743064 0.565675078012744 2.67729779157855 0.487636035331928 NA
"79" "2019-01-12" 362 171 161 3.31151691242836 0.630001842522905 2.68321263551511 0.411549422991749 NA
"78" "2019-01-05" 295 144 137 3.29822240085649 0.562202183290609 2.62150020785661 0.440931033717171 NA
"77" "2019-01-01" 626 316 269 3.32724704873368 0.669767938308811 2.76012927695772 0.522090740383591 NA
"76" "2018-12-29" 296 157 127 3.42918113385567 0.630435996515729 2.75297544764444 0.524753176212688 NA
"75" "2018-12-22" 248 122 111 3.41503880497626 0.586014361389762 2.81585957029573 0.530668610861205 NA
"74" "2018-12-15" 180 93 78 3.4410201272996 0.63049562843761 2.76477699716096 0.493058054377527 NA
"73" "2018-12-08" 225 121 91 3.23061551778457 0.593834844953857 2.75129457143592 0.444727769738731 NA
"72" "2018-12-01" 188 110 73 3.39414935243306 0.57237255540663 2.71896237183083 0.480597794760256 NA
"71" "2018-11-24" 230 113 103 3.38392294674229 0.596460010891145 2.77255803042782 0.452605098461647 NA
"70" "2018-11-17" 284 141 121 3.41344997952798 0.602655004466122 2.76010606549579 0.458931866624601 NA
"69" "2018-11-10" 286 137 133 3.33338243135115 0.664537663191934 2.70338144032185 0.511589363230444 NA
"68" "2018-11-03" 239 131 101 3.42777483970333 0.664285325069388 2.84010750650623 0.476083767876202 NA
"67" "2018-10-27" 212 117 80 3.31005812985713 0.676306750051388 2.81970859801057 0.507273895808105 NA
"66" "2018-10-20" 291 145 129 3.45160147957053 0.641052576476144 2.74946365980147 0.538989364662488 NA
"65" "2018-10-13" 196 108 78 3.28545595319599 0.57337221975048 2.70227322467771 0.416433400684105 NA
"64" "2018-10-06" 177 99 71 3.42455232482798 0.670400514018993 2.76338112875334 0.439660952373106 NA
"63" "2018-09-29" 227 127 88 3.4623064830658 0.652615393920271 2.83220981056949 0.440198019267409 NA
"62" "2018-09-22" 234 121 95 3.46225616659106 0.566993029907116 2.78066490499131 0.418291789813459 NA
"61" "2018-09-15" 246 136 94 3.30805008699752 0.646733951597956 2.75836935832773 0.464471689118681 NA
"60" "2018-09-08" 258 126 116 3.40911792456264 0.674905829608381 2.76718221479733 0.436929536630338 NA
"59" "2018-09-01" 244 119 119 3.33637693603165 0.698399044340919 2.81693241872067 0.4741378014131 NA
"58" "2018-08-25" 204 109 81 3.34988073009592 0.647976546363776 2.85124635459224 0.495773202877647 NA
"57" "2018-08-18" 213 116 85 3.38090962622613 0.559547058103066 2.79499482773387 0.465975824677116 NA
"56" "2018-08-11" 191 100 83 3.53126367568125 0.639116017591618 2.83520613952183 0.532245095404533 NA
"55" "2018-08-04" 201 107 76 3.53702920661948 0.638130712828501 2.80237272158712 0.534133195106899 NA
"54" "2018-07-28" 203 116 79 3.41160689010489 0.61162422993246 2.80272613818756 0.437059620701707 NA
"53" "2018-07-21" 204 118 77 3.37632085736097 0.552330727494172 2.75020109688227 0.508951465005024 NA
"52" "2018-06-23" 248 126 101 3.4379380108983 0.525035343624241 2.78567468342847 0.475584509408964 NA
"51" "2018-06-16" 243 130 105 3.28321401748009 0.595482712297849 2.7685187558955 0.469835290401821 NA
"50" "2018-06-09" 280 143 122 3.30068382668566 0.636909623544628 2.71062617519155 0.485300047166915 NA
"49" "2018-05-26" 215 124 81 3.33568933191156 0.556160097229658 2.6698032288877 0.425505065369081 NA
"48" "2018-05-19" 245 137 93 3.41028391747684 0.589677189861815 2.86088319578467 0.52388710597975 NA
"47" "2018-05-12" 230 124 96 3.25388949859538 0.610974970932693 2.67914303920631 0.411235159363792 NA
"46" "2018-05-05" 219 95 107 3.44557998424297 0.574716002400606 2.7237393086481 0.479848817770348 NA
"45" "2018-04-28" 199 99 81 3.34743004497651 0.546308706258967 2.88253589805167 0.44681298591393 NA
"44" "2018-04-21" 215 111 97 3.43688482001383 0.603115477402016 2.81270607805394 0.523581296200505 NA
"43" "2018-04-14" 208 117 83 3.28075110574983 0.664658143395645 2.83147849510356 0.451493330858019 NA
"42" "2018-04-07" 189 105 77 3.39739026864244 0.577077358010568 2.80509553807518 0.456960688765808 NA
"41" "2018-03-31" 290 161 121 3.45298603911992 0.580405666111753 2.84947350167011 0.468527932119143 NA
"40" "2018-03-24" 172 91 72 3.40673419755176 0.544689064957164 2.77441706802208 0.471104004975366 NA
"39" "2018-03-17" 177 89 78 3.41183165283974 0.542645657696652 2.80419156823353 0.455197973752816 NA
"38" "2018-03-10" 186 97 82 3.46675757356622 0.602279283004375 2.75309754872831 0.481208265909312 NA
"37" "2018-02-24" 193 92 85 3.51840815815468 0.634111703298722 2.92152799075689 0.534562021733274 NA
"36" "2018-02-17" 216 111 97 3.47609887849385 0.594775171754164 2.88086053809292 0.491480665563747 NA
"35" "2018-02-10" 173 95 73 3.35065447131084 0.595894616016992 2.75634967006621 0.410225548300959 NA
"34" "2018-02-03" 222 120 97 3.42522718629504 0.707155527527843 2.79268576268462 0.567622420807795 NA
"33" "2018-01-27" 156 81 69 3.39286670018789 0.702095490918054 2.74909401810082 0.434813994912975 NA
"32" "2018-01-20" 186 99 77 3.49368074394187 0.609335580175901 2.78629207721686 0.435677519972623 NA
"31" "2018-01-13" 237 114 118 3.42461999164533 0.628672422368787 2.75712572252439 0.444078397147382 NA
"30" "2018-01-06" 229 120 99 3.42492897407216 0.606156574797954 2.86437307802006 0.456615502767669 NA
"29" "2018-01-01" 458 244 192 3.37809033437346 0.62434823543558 2.81393804402093 0.434571203925028 NA
"28" "2017-12-30" 220 121 90 3.57289619480152 0.648768516477889 2.92818644375356 0.522587418207074 NA
"27" "2017-12-23" 180 97 76 3.57553202341263 0.641059755222065 3.02348661052091 0.472818677760659 NA
"26" "2017-12-09" 135 83 43 3.41218811828605 0.690996324046393 2.6924025559507 0.517770470683818 NA
"25" "2017-12-02" 142 76 66 3.48237122283443 0.639745698190564 2.94683073717221 0.494575073362132 NA
"24" "2017-11-25" 212 113 90 3.51446331543178 0.540131296148976 2.96619963964172 0.536826988605367 NA
"23" "2017-11-18" 188 103 68 3.56337617303755 0.652851603918884 2.87932951979889 0.481383336331895 NA
"22" "2017-11-11" 189 101 82 3.45380228000432 0.639524267266912 2.88576591101039 0.535167906078945 NA
"21" "2017-11-04" 198 104 81 3.51996963357821 0.678662379339393 2.89778990600554 0.438333744761556 NA
"20" "2017-10-28" 175 90 83 3.47588864412666 0.694549484529326 2.9080767119808 0.487718573282229 NA
"19" "2017-10-21" 258 137 106 3.44337690251037 0.596225288945228 2.92117916939682 0.517814598624339 NA
"18" "2017-10-14" 175 84 84 3.36932747947521 0.552995084546317 2.785029079803 0.46166663261336 NA
"17" "2017-10-07" 186 95 79 3.42192960034956 0.645420878674374 2.83818760387784 0.450575391649897 NA
"16" "2017-09-30" 211 112 91 3.46809417955208 0.703865270642113 2.84554324796436 0.458889119553314 NA
"15" "2017-09-23" 202 104 84 3.40108491644056 0.581355208019257 2.75648473707139 0.455815677331346 NA
"14" "2017-09-16" 154 76 68 3.30002391392994 0.585168532630907 2.74726226476984 0.442435400907458 NA
"13" "2017-09-09" 224 119 95 3.60689507251832 0.611177213813583 2.92922156214847 0.513033442946734 NA
"12" "2017-09-02" 226 113 107 3.47670720567888 0.635604810453532 2.86284623525219 0.553524589961414 NA
"11" "2017-08-26" 163 75 79 3.54582130909999 0.670371997205917 2.83202337743766 0.545034586395504 NA
"10" "2017-08-19" 183 101 79 3.52479732839217 0.591573948131399 2.92450965010139 0.4890940234416 NA
"9" "2017-08-12" 175 96 72 3.57162539739377 0.734702047724981 2.94187097048298 0.438001211732736 NA
"8" "2017-08-05" 162 80 74 3.50769270052383 0.745428520220979 2.80944518103905 0.441510828312111 NA
"7" "2017-07-29" 173 96 71 3.48016179847968 0.695531011608793 2.84198704882788 0.546206696908942 NA
"6" "2017-07-22" 172 99 70 3.54768319413068 0.614154136610184 2.89602643219906 0.495641756705763 NA
"5" "2017-07-08" 226 123 100 3.50022472982914 0.707630264013033 2.76489771296991 0.534426861592234 NA
"4" "2017-07-01" 191 114 72 3.51314629604972 0.621367582251576 2.85555763819337 0.493259496868181 NA
"3" "2017-06-24" 219 128 75 3.54246410291915 0.610747089388243 2.84081985226684 0.428605812261054 NA
"2" "2017-06-17" 198 112 72 3.48898339248413 0.580030678628172 2.85958185341014 0.458536403662681 NA
"1" "2017-06-10" NA NA NA NA NA NA NA NA
